Posição,Profissão,Candidatos
1,Outros,239
2,Deputado,112
3,Professor de ensino médio,69
4,Advogado,60
5,Aposentado (exceto servidor público),59
6,Professor de ensino superior,50
7,Professor de ensino fundamental,50
8,Vereador,47
9,Empresário,44
10,Servidor público estadual,42
