NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,ANO_ELEICAO,SG_PARTIDO,SG_UF
ALDENY BRUNO FERREIRA DOS PRAZERES,ALDENY BRUNO ENÉAS BOLSONARO,DEPUTADO ESTADUAL,2022,PL,PE
SPITZBERG GUIMARAES DE CARVALHO,SPITZ BOLSONARO,DEPUTADO ESTADUAL,2022,PSC,MG
ANA SILVIA GOES DE SOUZA,PASTORA ANA BOLSONARO,DEPUTADO FEDERAL,2022,PL,SP
CLEIDIANE DAS NEVES BRITO,CLEIDIANE BOLSONARO,DEPUTADO ESTADUAL,2022,PL,MA
JOSÉ FERNANDO PINTO,GUTO BOLSONARO,DEPUTADO ESTADUAL,2022,PSC,MG
GENIVALDO DE SOUZA ARAUJO,CAPITÃO DE BOLSONARO,DEPUTADO ESTADUAL,2022,PL,BA
LEONARDO RODRIGUES DE JESUS,LÉO ÍNDIO BOLSONARO,DEPUTADO DISTRITAL,2022,PL,DF
CHRISTOPHER BORGES VELEDA,CHRIS COL BOLSONARO NUNCA MAIS,DEPUTADO ESTADUAL,2022,PSOL,RS
ROSELAINE BARROSO FERREIRA,ROSELAINE BOLSONARO,DEPUTADO FEDERAL,2022,PL,PR
LUCIANA LUIZA DE LIMA,LUCIANA BOLSONARO,DEPUTADO ESTADUAL,2022,PATRIOTA,PE
DANIEL JORGE NORONHA PINTO,JORGITO BOLSONARO,DEPUTADO ESTADUAL,2022,PRTB,MG
RAFAEL SANTOS,RAFA APOIADORES DO BOLSONARO,DEPUTADO ESTADUAL,2022,PL,RJ
KELLY CRISTINA PEREIRA DOS SANTOS,KELLY BOLSONARO,DEPUTADO DISTRITAL,2022,REPUBLICANOS,DF
EDUARDO NANTES BOLSONARO,EDUARDO BOLSONARO,DEPUTADO FEDERAL,2022,PL,SP
JAIR MESSIAS BOLSONARO,JAIR BOLSONARO,PRESIDENTE,2022,PL,BR
ZENAIDE JADKOSKI BIELAWSKI,ZENAIDE DO BOLSONARO,DEPUTADO ESTADUAL,2022,UNIÃO,RS
HELIO FERNANDO BARBOSA LOPES,HELIO BOLSONARO,DEPUTADO FEDERAL,2022,PL,RJ
ANA CRISTINA SIQUEIRA VALLE,CRISTINA BOLSONARO,DEPUTADO DISTRITAL,2022,PP,DF
VALDEILSON DA SILVA,DEILSON BOLSONARO,DEPUTADO FEDERAL,2022,PP,RR
HELIO RODRIGUES CARVALHO,HELIO RODRIGUES BOLSONARO,DEPUTADO FEDERAL,2022,PATRIOTA,TO
IVANDRO APARECIDO BISCAIA,BISCAIA BOLSONARO,DEPUTADO FEDERAL,2022,PTB,PR
VALERIA MULLER RAMOS BOLSONARO,VALERIA BOLSONARO,DEPUTADO ESTADUAL,2022,PL,SP
JOEL ANTONIO DE MELLO,JOEL BOLSONARO,DEPUTADO FEDERAL,2022,PTB,SP
FABIANO GUIMARÃES DA ROCHA,FABIANO INTÉRPRETE BOLSONARO,DEPUTADO FEDERAL,2022,REPUBLICANOS,DF
ELOIR DEDONATTI,PADRE DO BOLSONARO,DEPUTADO ESTADUAL,2022,PL,SC
CHRISTOPHER BORGES VELEDA,CHRIS COL BOLSONARO NUNCA MAIS,DEPUTADO FEDERAL,2022,PSOL,RS
RUY ALMEIDA IRIGARAY,RUY IRIGARAY BOLSONARO,DEPUTADO ESTADUAL,2022,UNIÃO,RS
FABIANA DE LIMA BARROSO,FABIANA BOLSONARO,DEPUTADO ESTADUAL,2022,PL,SP
WELESSON GONÇALVES DE ANDRADE OLIVEIRA,WELESSON TV BOLSONARO,DEPUTADO FEDERAL,2022,PL,MG
MARIZA ALMEIDA SOUSA MENDONÇA,MARIZA BOLSONARO,DEPUTADO ESTADUAL,2022,PL,PA
