Ocupação,Eleição,Candidatos
Bombeiro Militar,2018,107
Bombeiro Militar,2022,71
Membro Das Forças Armadas,2018,93
Membro Das Forças Armadas,2022,39
Militar Reformado,2018,216
Militar Reformado,2022,172
Policial Civil,2018,187
Policial Civil,2022,149
Policial Militar,2018,607
Policial Militar,2022,556
Vigilante,2018,176
Vigilante,2022,101
