Eleição,Superior completo,Superior incompleto,Ensino médio completo,Ensino médio incompleto,Ensino fundamental completo,Ensino fundamental incompleto,Lê e escreve,Não divulgável
2018,14255,2633,8555,832,1691,920,293,1
2022,10210,1658,4060,416,713,381,110,0
