LONGITUDE,LATITUDE,RANK,CODIGO_IBGE,CODIGO_TSE,MUNICÍPIO_y,UF_y,TOTAL VOTOS VÁLIDOS,VENCEDOR,Tarcísio,Fernando Haddad,Rodrigo Garcia,Vinicius Poit,Elvis Cezar,Carol Vigliar,Gabriel Colombo,Altino,Antonio Jorge,Edson Dorta,VOTOS SOLTOS,PCT_SOLTOS,GSP
-47.61493763612093,-24.005648359652948,591,3553500,71714,TAPIRAÍ,SP,4033,Tarcísio,2006,1166,802,24,23,8,4,0,0,0,861,21.3,False
-49.77179292656711,-22.67990870602726,575,3550506,71110,SÃO PEDRO DO TURVO,SP,4027,Tarcísio,1613,1386,992,5,19,6,2,1,0,3,1028,25.5,False
-51.78968775204357,-21.19818090386091,404,3536406,68292,PAULICÉIA,SP,3983,Tarcísio,2136,1332,461,8,38,3,1,2,2,0,515,12.9,False
-47.98096035824922,-21.453061078796132,207,3518859,61107,GUATAPARÁ,SP,3939,Fernando Haddad,1400,1819,642,27,41,4,6,0,0,0,720,18.3,False
-49.05385123121535,-21.06229718996733,117,3511201,63258,CATIGUÁ,SP,3934,Tarcísio,1963,911,1015,19,14,7,4,1,0,0,1060,26.9,False
-46.41551768296127,-22.88710728074839,626,3556354,61549,VARGEM,SP,3931,Tarcísio,1949,924,951,46,44,10,5,0,2,0,1058,26.9,False
-49.58459439529758,-20.946041511881468,274,3524501,65919,JACI,SP,3912,Tarcísio,1715,862,1298,14,21,0,2,0,0,0,1335,34.1,False
-47.71275144602621,-22.427792120733788,237,3521101,65234,IPEÚNA,SP,3873,Tarcísio,2349,844,624,20,20,5,9,1,1,0,680,17.6,False
-45.384888095861015,-23.416774635881964,358,3532306,67474,NATIVIDADE DA SERRA,SP,3870,Tarcísio,1803,1029,973,25,24,6,3,2,5,0,1038,26.8,False
-51.34290400954274,-22.505699838938813,584,3552908,71595,TACIBA,SP,3857,Fernando Haddad,1404,1486,890,38,33,5,1,0,0,0,967,25.1,False
-50.463520960385225,-21.567222848421352,125,3511904,63398,CLEMENTINA,SP,3835,Tarcísio,2121,1005,664,19,9,9,4,0,3,1,709,18.5,False
-51.62573512332002,-22.355806806961123,596,3553906,71790,TARABAI,SP,3816,Fernando Haddad,1387,1649,733,25,14,3,1,0,3,1,780,20.4,False
-48.40310951806294,-23.101262752095263,400,3536109,68233,PARDINHO,SP,3813,Tarcísio,1789,1071,877,34,27,6,5,3,1,0,953,25.0,False
-48.72196545252419,-20.26594157135834,127,3512100,63436,COLÔMBIA,SP,3806,Tarcísio,1406,1194,1174,12,14,4,1,1,0,0,1206,31.7,False
-47.19515236133196,-21.09270036047627,530,3547908,70599,SANTO ANTÔNIO DA ALEGRIA,SP,3777,Tarcísio,1512,1295,934,10,18,5,2,0,1,0,970,25.7,False
-45.21060431129867,-23.08710723660938,293,3526308,66273,LAGOINHA,SP,3748,Rodrigo Garcia,1073,975,1631,23,31,4,6,2,3,0,1700,45.4,False
-49.06390227544076,-23.177660483804857,25,3503109,61611,ARANDU,SP,3725,Tarcísio,1847,1127,697,13,28,4,5,3,0,1,751,20.2,False
-44.84158854682583,-22.73253840240231,547,3552007,71412,SILVEIRAS,SP,3715,Tarcísio,1343,1029,1278,33,23,3,2,1,2,1,1343,36.2,False
-50.37063207435311,-22.102595558926645,466,3542008,69418,QUINTANA,SP,3708,Tarcísio,2032,1194,424,27,23,1,2,1,1,3,482,13.0,False
-48.41787584128012,-20.64829466733158,271,3524204,65854,JABORANDI,SP,3695,Rodrigo Garcia,1169,1117,1389,5,12,3,0,0,0,0,1409,38.1,False
-49.51720673944626,-21.06085086623007,363,3532801,67571,NOVA ALIANÇA,SP,3692,Tarcísio,1723,776,1150,13,12,12,4,2,0,0,1193,32.3,False
-49.92184765356413,-21.291034558670162,49,3505104,61999,BARBOSA,SP,3661,Rodrigo Garcia,1266,885,1487,5,12,4,1,0,1,0,1510,41.2,False
-49.40018174476529,-21.264641608494422,243,3521507,65315,IRAPUÃ,SP,3634,Tarcísio,2153,782,677,9,9,2,2,0,0,0,699,19.2,False
-50.09415228102729,-22.142318502187123,379,3534104,67830,ORIENTE,SP,3622,Tarcísio,1809,1064,697,17,16,13,1,4,1,0,749,20.7,False
-50.7272243740881,-20.01172473975984,507,3545704,70157,SANTA ALBERTINA,SP,3598,Tarcísio,1612,921,1014,11,29,7,3,0,1,0,1065,29.6,False
-48.36586696101732,-21.456109610377933,515,3546504,70319,SANTA ERNESTINA,SP,3592,Tarcísio,1535,1255,763,10,9,9,11,0,0,0,802,22.3,False
