ESTADO,MUNICíPIO,VOTOS VALIDOS,VOTOS VALIDOS PERCENTUAL,VOTOS BRANCOS,VOTOS BRANCOS PERCENTUAL,VOTOS NULOS,VOTOS NULOS PERCENTUAL,ABSTENÇÕES,ABSTENÇÕES PERCENTUAL
AC,Acrelândia,7118,99.99000000000001,45,0.62,130,1.78,2228,23.40
AC,Assis Brasil,4871,100.00000000000001,22,0.44,126,2.51,1371,21.46
AC,Brasiléia,14138,99.99000000000002,116,0.79,283,1.95,3658,20.10
AC,Bujari,7263,100.0,70,0.93,199,2.64,2415,24.28
AC,Capixaba,6011,100.00999999999999,36,0.58,119,1.93,1670,21.31
AC,Cruzeiro do Sul,45201,100.0,487,1.04,975,2.09,12529,21.17
AC,Epitaciolândia,9666,100.00000000000001,73,0.74,198,1.99,2576,20.59
AC,Feijó,15220,99.99000000000002,116,0.73,518,3.27,6896,30.31
AC,Jordão,4018,100.00999999999998,6,0.14,124,2.99,1446,25.85
AC,Mâncio Lima,10244,100.00000000000003,82,0.78,240,2.27,3205,23.27
AC,Manoel Urbano,5534,100.01,37,0.64,189,3.28,2014,25.91
AC,Marechal Thaumaturgo,8059,99.99000000000004,31,0.38,190,2.29,3081,27.12
AC,Plácido de Castro,9390,100.00000000000001,80,0.83,212,2.19,2588,21.09
AC,Porto Acre,10259,100.01000000000002,91,0.86,229,2.16,2600,19.73
AC,Porto Walter,5503,100.00999999999999,36,0.64,116,2.05,1579,21.83
AC,Rio Branco,203629,100.01,2676,1.27,4556,2.16,55951,20.97
AC,Rodrigues Alves,8866,99.99000000000001,59,0.65,169,1.86,2695,22.86
AC,Santa Rosa do Purus,2518,100.0,15,0.57,77,2.95,1158,30.73
AC,Sena Madureira,21786,100.00000000000001,185,0.83,486,2.16,7852,25.91
AC,Senador Guiomard,13755,99.99000000000001,137,0.96,328,2.31,3597,20.19
AC,Tarauacá,18508,100.00000000000001,196,1.02,603,3.12,8312,30.10
AC,Xapuri,9360,99.99000000000001,68,0.71,255,2.63,2414,19.96
AL,Água Branca,10781,100.03000000000002,82,0.73,260,2.34,4812,30.20
AL,Anadia,8593,99.98999999999998,142,1.58,290,3.21,3636,28.72
AL,Arapiraca,116927,100.01,2015,1.65,3211,2.63,28825,19.09
AL,Atalaia,22604,100.00000000000001,373,1.58,674,2.85,7692,24.54
AL,Barra de Santo Antônio,9283,100.01,149,1.54,285,2.93,2810,22.43
AL,Barra de São Miguel,5905,99.99,74,1.20,148,2.42,1195,16.32
AL,Batalha,9597,99.99000000000002,109,1.10,218,2.20,3138,24.02
AL,Belém,3488,100.0,69,1.89,103,2.81,1319,26.49
AL,Belo Monte,4461,99.99,43,0.93,136,2.93,1386,23.00
AL,Boca da Mata,13532,99.98,244,1.72,392,2.77,5407,27.62
AL,Branquinha,6123,99.99999999999997,89,1.40,164,2.57,2730,29.98
AL,Cacimbinhas,5955,100.0,57,0.92,174,2.81,2265,26.80
AL,Cajueiro,10006,99.99999999999997,175,1.67,325,3.09,4045,27.80
AL,Campestre,4044,100.00000000000001,44,1.05,106,2.53,1474,26.01
AL,Campo Alegre,18067,100.02000000000001,234,1.24,580,3.07,6936,26.87
AL,Campo Grande,6562,100.02,108,1.57,199,2.90,2069,23.15
AL,Canapi,9304,100.00000000000003,73,0.76,290,3.00,3961,29.07
AL,Capela,9481,100.00000000000003,130,1.31,318,3.20,3011,23.27
AL,Carneiros,5041,100.00000000000001,48,0.92,142,2.71,1729,24.84
AL,Chã Preta,4373,99.99999999999999,57,1.23,181,3.93,1479,24.29
AL,Coité do Nóia,6613,100.01999999999998,64,0.92,219,3.18,2000,22.48
AL,Colônia Leopoldina,10290,99.99999999999999,160,1.48,364,3.37,4032,27.16
AL,Coqueiro Seco,3959,100.01,101,2.40,145,3.45,808,16.12
AL,Coruripe,28689,100.02000000000001,641,2.10,1129,3.71,9700,24.15
AL,Craíbas,14721,100.01,210,1.36,420,2.74,3959,20.50
AL,Delmiro Gouveia,28603,99.99,291,0.98,653,2.21,9467,24.27
AL,Dois Riachos,6543,100.00999999999998,53,0.78,151,2.24,2555,27.47
AL,Estrela de Alagoas,7878,99.99000000000002,85,1.03,302,3.65,3748,31.20
AL,Feira Grande,13409,100.00000000000001,182,1.31,379,2.71,3928,21.95
AL,Feliz Deserto,2444,99.99000000000002,41,1.59,91,3.53,948,26.90
AL,Flexeiras,6099,100.00999999999999,117,1.82,239,3.70,2226,25.64
AL,Girau do Ponciano,19488,99.99999999999999,268,1.32,534,2.63,7097,25.91
AL,Ibateguara,7922,100.01,162,1.95,253,3.03,3032,26.67
AL,Igaci,13778,100.01000000000003,217,1.50,450,3.12,5658,28.15
AL,Igreja Nova,12847,100.00000000000001,276,2.05,394,2.91,4036,22.99
AL,Inhapi,9046,99.99000000000002,115,1.22,296,3.13,3814,28.74
AL,Jacaré dos Homens,3633,100.0,25,0.67,69,1.85,1181,24.06
AL,Jacuípe,4237,100.00999999999999,51,1.16,125,2.83,1271,22.36
AL,Japaratinga,5455,99.99000000000001,110,1.92,153,2.68,1451,20.24
AL,Jaramataia,3759,100.01000000000002,30,0.76,128,3.27,1064,21.36
AL,Jequiá da Praia,6123,100.00999999999998,75,1.19,135,2.13,1610,20.27
AL,Joaquim Gomes,10324,100.02000000000002,140,1.29,412,3.79,3449,24.08
AL,Jundiá,3158,99.99,43,1.30,99,3.00,1169,26.16
AL,Junqueiro,14246,100.01000000000002,235,1.58,481,3.21,4853,24.49
AL,Lagoa da Canoa,11435,99.99,178,1.50,319,2.67,3162,20.95
AL,Limoeiro de Anadia,14158,100.00999999999999,208,1.41,451,3.04,4231,22.21
AL,Maceió,484075,100.00000000000001,9383,1.84,15992,3.14,120136,19.08
AL,Major Isidoro,10919,100.0,133,1.17,308,2.71,3880,25.46
AL,Mar Vermelho,2806,100.00999999999998,39,1.34,68,2.33,623,17.62
AL,Maragogi,16735,100.0,341,1.94,491,2.80,4954,22.00
AL,Maravilha,5647,100.02,79,1.33,230,3.86,2174,26.74
AL,Marechal Deodoro,31641,99.99000000000001,575,1.74,925,2.79,7776,19.00
AL,Maribondo,7773,99.99999999999999,97,1.19,267,3.28,2200,21.28
AL,Mata Grande,11801,100.01000000000002,111,0.90,484,3.90,5310,29.99
AL,Matriz de Camaragibe,13026,99.99000000000001,229,1.68,378,2.77,4870,26.32
AL,Messias,10005,99.99999999999999,186,1.77,323,3.07,3083,22.67
AL,Minador do Negrão,3543,100.00000000000001,35,0.94,139,3.74,1193,24.30
AL,Monteirópolis,4167,100.00999999999998,46,1.07,114,2.63,1649,27.59
AL,Murici,14390,99.99000000000001,377,2.48,438,2.88,4865,24.24
AL,Novo Lino,6961,99.99000000000002,118,1.62,214,2.93,2563,26.00
AL,Olho D'Água Grande,3444,100.00000000000001,46,1.27,110,3.06,1224,25.37
AL,Olho D'Água das Flores,11588,100.0,135,1.12,312,2.59,3967,24.79
AL,Olho D'Água do Casado,5320,100.00999999999999,48,0.87,128,2.33,1949,26.18
AL,Olivença,7075,100.0,53,0.72,213,2.90,2287,23.75
AL,Ouro Branco,6959,100.01,58,0.81,148,2.07,2066,22.38
AL,Palestina,3303,100.00000000000003,40,1.17,90,2.62,1303,27.51
AL,Palmeira dos Índios,39379,100.0,701,1.69,1341,3.24,11185,21.26
AL,Pão de Açúcar,13632,100.01000000000002,156,1.10,334,2.37,4637,24.72
AL,Pariconha,6510,100.0,48,0.71,152,2.27,2354,25.97
AL,Paripueira,8518,99.99000000000001,141,1.59,209,2.36,2195,19.84
AL,Passo de Camaragibe,8980,99.98000000000003,177,1.88,270,2.86,2492,20.91
AL,Paulo Jacinto,4712,99.99,66,1.34,156,3.16,1322,21.13
AL,Penedo,30365,100.01,430,1.36,759,2.41,10503,24.97
AL,Piaçabuçu,9994,100.00000000000001,115,1.11,262,2.53,3182,23.48
AL,Pilar,20519,99.99,411,1.91,632,2.93,5690,20.88
AL,Pindoba,2045,100.0,18,0.83,87,4.05,525,19.63
AL,Piranhas,13414,99.99000000000001,119,0.85,414,2.97,4923,26.09
AL,Poço das Trincheiras,7683,99.98000000000003,76,0.96,195,2.45,2512,24.00
AL,Porto Calvo,15152,100.01,272,1.72,393,2.48,5096,24.37
AL,Porto Real do Colégio,12234,100.01,188,1.48,265,2.09,3448,21.37
AL,Porto de Pedras,5366,100.01000000000002,89,1.59,144,2.57,1450,20.57
AL,Quebrangulo,7323,99.99000000000002,101,1.33,215,2.81,2391,23.84
AL,Rio Largo,48489,100.02000000000001,1140,2.23,1317,2.59,11274,18.12
AL,Roteiro,4040,99.99999999999999,63,1.48,151,3.55,1316,23.63
AL,Santa Luzia do Norte,4861,99.99000000000001,74,1.46,140,2.76,1015,16.67
AL,Santana do Ipanema,24173,100.0,289,1.15,644,2.57,6942,21.66
AL,Santana do Mundaú,6392,100.00999999999999,100,1.49,191,2.86,2315,25.73
AL,São Brás,5058,100.00999999999998,79,1.51,92,1.76,1446,21.66
AL,São José da Laje,12263,100.01,208,1.61,429,3.33,4450,25.65
AL,São José da Tapera,14694,100.01999999999998,181,1.18,529,3.43,6218,28.76
AL,São Luís do Quitunde,16318,100.02000000000001,365,2.13,484,2.82,6295,26.83
AL,São Miguel dos Campos,31726,100.01,489,1.47,1019,3.07,9237,21.75
AL,São Miguel dos Milagres,5457,100.00999999999999,105,1.83,172,3.00,1633,22.17
AL,São Sebastião,18737,100.0,359,1.83,516,2.63,6329,24.40
AL,Satuba,10028,100.0,165,1.58,254,2.43,2041,16.34
AL,Senador Rui Palmeira,6512,100.00000000000001,70,1.04,147,2.18,2568,27.62
AL,Tanque D'Arca,3800,100.00999999999999,59,1.48,138,3.45,1495,27.22
AL,Taquarana,10065,100.00000000000001,153,1.44,400,3.77,3538,24.99
AL,Teotônio Vilela,20506,99.98000000000002,391,1.81,743,3.43,9016,29.41
AL,Traipu,13029,100.00999999999999,121,0.89,405,2.99,4764,26.01
AL,União dos Palmares,33038,100.01,467,1.35,954,2.77,11787,25.49
AL,Viçosa,15043,100.02000000000002,284,1.80,450,2.85,4496,22.18
AM,Alvarães,8494,99.98,20,0.23,155,1.79,2641,23.35
AM,Amaturá,5282,100.0,21,0.39,102,1.89,1394,20.50
AM,Anamã,6367,100.00999999999999,20,0.31,78,1.21,2188,25.29
AM,Anori,8089,100.00000000000001,41,0.50,74,0.90,2608,24.12
AM,Apuí,7804,99.99000000000001,50,0.63,86,1.08,3752,32.09
AM,Atalaia do Norte,6063,100.00999999999999,18,0.29,113,1.82,2768,30.89
AM,Autazes,21477,99.99000000000001,119,0.54,383,1.74,6975,24.09
AM,Barcelos,7388,100.00000000000003,27,0.36,143,1.89,4246,35.97
AM,Barreirinha,16471,99.99000000000001,45,0.27,223,1.33,4337,20.58
AM,Benjamin Constant,16657,100.0,58,0.35,212,1.25,5316,23.90
AM,Beruri,10265,100.00000000000001,37,0.36,117,1.12,3408,24.65
AM,Boa Vista do Ramos,9566,99.99000000000001,28,0.29,89,0.92,3025,23.80
AM,Boca do Acre,15734,100.01000000000002,135,0.83,384,2.36,6757,29.37
AM,Borba,16265,100.02000000000004,51,0.31,255,1.54,4323,20.69
AM,Caapiranga,7036,100.00999999999999,24,0.34,64,0.90,2498,25.96
AM,Canutama,6828,100.00000000000001,32,0.46,146,2.08,3028,30.18
AM,Carauari,13768,100.01000000000002,64,0.45,250,1.78,7469,34.66
AM,Careiro,17050,100.00000000000001,99,0.56,412,2.35,6655,27.48
AM,Careiro da Várzea,12805,99.99999999999999,80,0.61,156,1.20,3721,22.20
AM,Coari,34859,99.97999999999999,173,0.49,481,1.35,15648,30.59
AM,Codajás,11670,99.99000000000001,37,0.31,200,1.68,4557,27.68
AM,Eirunepé,14068,100.0,103,0.71,359,2.47,5526,27.55
AM,Envira,7293,99.98,36,0.48,202,2.68,4552,37.67
AM,Fonte Boa,11424,100.01000000000002,47,0.41,180,1.54,4677,28.64
AM,Guajará,7760,99.99000000000001,45,0.56,172,2.16,3838,32.48
AM,Humaitá,23945,100.01000000000002,153,0.63,285,1.17,8451,25.74
AM,Ipixuna,7437,100.00999999999999,50,0.65,233,3.02,4235,35.42
AM,Iranduba,30167,100.00999999999998,216,0.70,413,1.34,5733,15.69
AM,Itacoatiara,53963,99.99000000000002,295,0.53,613,1.12,16259,22.86
AM,Itamarati,4956,99.99000000000001,17,0.34,122,2.39,2257,30.70
AM,Itapiranga,6360,100.00999999999999,23,0.36,71,1.10,1892,22.67
AM,Japurá,3322,99.99000000000001,15,0.44,55,1.62,1715,33.58
AM,Juruá,5145,100.0,28,0.52,151,2.84,2550,32.39
AM,Jutaí,9225,99.99999999999999,30,0.31,232,2.45,4825,33.71
AM,Lábrea,18813,100.01,75,0.39,288,1.50,7949,29.31
AM,Manacapuru,56436,100.00000000000001,363,0.63,768,1.33,15095,20.77
AM,Manaquiri,10737,100.00000000000003,46,0.42,176,1.61,3632,24.89
AM,Manaus,1163097,100.01,15221,1.27,24314,2.02,216041,15.23
AM,Manicoré,24220,99.97999999999998,85,0.35,233,0.95,8630,26.02
AM,Maraã,5972,99.99,25,0.41,83,1.37,3990,39.62
AM,Maués,26857,100.0,105,0.39,334,1.22,9564,25.95
AM,Nhamundá,11010,100.01,33,0.30,87,0.78,3179,22.22
AM,Nova Olinda do Norte,14063,100.01000000000002,64,0.45,186,1.30,4744,24.89
AM,Novo Airão,8709,99.99,49,0.55,121,1.36,2601,22.66
AM,Novo Aripuanã,9218,100.0,36,0.39,170,1.80,4227,30.96
AM,Parintins,54336,99.99000000000002,290,0.52,438,0.80,17709,24.33
AM,Pauini,7576,100.01,23,0.30,134,1.73,3686,32.28
AM,Presidente Figueiredo,18104,100.00000000000001,112,0.60,275,1.49,6741,26.72
AM,Rio Preto da Eva,14079,99.99999999999999,91,0.63,217,1.51,3752,20.68
AM,Santa Isabel do Rio Negro,5388,100.01000000000002,28,0.50,157,2.82,3343,37.49
AM,Santo Antônio do Içá,12459,100.01,32,0.25,207,1.63,3584,22.01
AM,São Gabriel da Cachoeira,21310,100.00999999999999,78,0.36,209,0.97,10384,32.47
AM,São Paulo de Olivença,14582,100.00000000000003,51,0.34,273,1.83,3634,19.60
AM,São Sebastião do Uatumã,5512,100.01,36,0.64,89,1.58,1715,23.33
AM,Silves,6448,100.02,14,0.21,58,0.89,1814,21.77
AM,Tabatinga,26853,99.99000000000001,135,0.49,453,1.65,9488,25.69
AM,Tapauá,9487,100.00000000000001,31,0.32,184,1.90,4316,30.79
AM,Tefé,33205,99.99000000000001,168,0.50,423,1.25,7959,19.06
AM,Tonantins,7932,100.01,18,0.22,149,1.84,2453,23.25
AM,Uarini,6592,100.0,30,0.45,78,1.16,2198,24.70
AM,Urucará,8823,99.98999999999998,45,0.50,119,1.32,3267,26.66
AM,Urucurituba,9638,100.00000000000001,47,0.48,90,0.92,3409,25.86
AP,Amapá,5348,100.00999999999998,28,0.51,92,1.68,1385,20.21
AP,Calçoene,6128,100.00999999999999,29,0.46,97,1.55,2013,24.35
AP,Cutias,4084,99.99,14,0.34,43,1.04,892,17.72
AP,Ferreira Gomes,4923,100.0,27,0.54,95,1.88,1047,17.19
AP,Itaubal,5873,99.99999999999999,21,0.35,86,1.44,1351,18.43
AP,Laranjal do Jari,20721,100.0,162,0.76,368,1.73,7629,26.42
AP,Macapá,247365,100.0,2151,0.84,4413,1.74,57749,18.53
AP,Mazagão,16113,100.00999999999999,63,0.38,253,1.54,2741,14.30
AP,Oiapoque,14076,100.0,136,0.94,280,1.93,6713,31.66
AP,Pedra Branca do Amapari,7433,99.99000000000002,30,0.39,121,1.60,2528,25.00
AP,Porto Grande,10317,100.0,66,0.63,209,1.97,3582,25.27
AP,Pracuúba,3039,100.0,11,0.36,29,0.94,644,17.30
AP,Santana,68161,100.0,464,0.67,995,1.43,13641,16.38
AP,Serra do Navio,2968,99.99,16,0.53,47,1.55,833,21.56
AP,Tartarugalzinho,7997,100.01000000000002,42,0.51,123,1.51,2190,21.16
AP,Vitória do Jari,7615,100.0,29,0.37,141,1.81,2385,23.45
BA,Abaíra,5057,100.0,97,1.78,306,5.60,1721,23.97
BA,Abaré,11526,100.00000000000001,95,0.79,344,2.88,2626,18.00
BA,Acajutiba,8791,99.99000000000001,109,1.18,322,3.49,3015,24.64
BA,Adustina,9207,100.0,116,1.20,358,3.70,2169,18.30
BA,Água Fria,9061,99.99,140,1.43,555,5.69,3305,25.30
BA,Aiquara,2969,99.99,34,1.09,123,3.93,1058,25.29
BA,Alagoinhas,84641,99.99999999999997,1708,1.90,3391,3.78,22262,19.88
BA,Alcobaça,12979,100.0,167,1.24,382,2.82,5304,28.16
BA,Almadina,3485,100.02,27,0.74,137,3.75,1508,29.24
BA,Amargosa,20923,99.96999999999998,342,1.55,794,3.60,6837,23.66
BA,Amélia Rodrigues,14904,99.98,270,1.72,543,3.45,4075,20.59
BA,América Dourada,9855,100.01,75,0.74,215,2.12,3336,24.75
BA,Anagé,14056,100.00000000000001,137,0.92,687,4.62,4840,24.54
BA,Andaraí,7296,99.98000000000002,81,1.04,395,5.08,2992,27.80
BA,Andorinha,9761,99.99000000000004,100,0.98,305,3.00,2280,18.32
BA,Angical,9782,100.0,70,0.69,291,2.87,2741,21.27
BA,Anguera,7105,100.0,99,1.33,245,3.29,1900,20.32
BA,Antas,8125,99.98,77,0.91,263,3.11,2520,22.94
BA,Antônio Cardoso,9155,100.0,85,0.89,257,2.71,1773,15.73
BA,Antônio Gonçalves,6491,100.00999999999999,65,0.96,213,3.15,2046,23.21
BA,Aporá,9941,99.99000000000002,135,1.28,413,3.94,3805,26.62
BA,Apuarema,4440,100.00999999999998,45,0.95,226,4.80,1256,21.05
BA,Araçás,7652,99.99,108,1.35,286,3.55,2096,20.67
BA,Aracatu,9738,100.00000000000003,156,1.52,352,3.44,1730,14.45
BA,Araci,28471,100.00000000000001,296,1.00,1013,3.40,12405,29.41
BA,Aramari,7037,100.0,115,1.55,292,3.92,1844,19.85
BA,Arataca,4471,100.00000000000001,27,0.58,160,3.43,1632,25.95
BA,Aratuípe,6312,100.00999999999999,112,1.69,208,3.14,1953,22.75
BA,Aurelino Leal,7061,99.98000000000002,59,0.81,191,2.61,2523,25.66
BA,Baianópolis,9297,99.99000000000002,116,1.18,349,3.58,2544,20.67
BA,Baixa Grande,10725,99.99999999999999,226,1.95,661,5.69,4519,28.01
BA,Banzaê,7941,99.99000000000002,80,0.96,271,3.27,1949,19.03
BA,Barra,26749,100.00000000000003,210,0.75,959,3.44,10683,27.68
BA,Barra da Estiva,15849,100.01000000000002,264,1.57,677,4.03,3256,16.24
BA,Barra do Choça,21084,100.00000000000001,255,1.14,991,4.44,7236,24.47
BA,Barra do Mendes,9536,99.98999999999998,97,0.98,244,2.47,2925,22.85
BA,Barra do Rocha,2953,99.99,21,0.68,84,2.75,1131,27.00
BA,Barreiras,82598,99.98000000000002,976,1.14,1923,2.25,18593,17.86
BA,Barro Alto,8339,99.99000000000002,77,0.89,247,2.85,2283,20.86
BA,Barro Preto,4305,99.98999999999998,59,1.31,165,3.64,1562,25.64
BA,Barrocas,10802,100.00000000000001,106,0.93,374,3.32,2443,17.80
BA,Belmonte,11169,99.99000000000004,127,1.08,417,3.56,4402,27.32
BA,Belo Campo,11556,99.99,138,1.14,479,3.93,4268,25.96
BA,Biritinga,9283,100.01,135,1.35,585,5.85,2523,20.14
BA,Boa Nova,8543,99.99999999999999,92,1.01,443,4.88,4901,35.06
BA,Boa Vista do Tupim,10323,99.99999999999999,103,0.93,594,5.39,3517,24.19
BA,Bom Jesus da Lapa,36387,99.98999999999997,439,1.15,1319,3.46,11881,23.75
BA,Bom Jesus da Serra,6394,100.0,60,0.88,341,5.02,2852,29.56
BA,Boninal,7787,99.99000000000002,127,1.54,347,4.20,2903,26.00
BA,Bonito,9346,100.0,106,1.08,339,3.46,3144,24.31
BA,Boquira,11789,99.99999999999999,108,0.87,487,3.93,4660,27.34
BA,Botuporã,6706,99.99000000000002,68,0.95,390,5.44,2755,27.77
BA,Brejões,7994,99.99000000000001,113,1.34,336,3.98,3210,27.55
BA,Brejolândia,5984,99.99999999999999,136,2.16,168,2.67,2123,25.24
BA,Brotas de Macaúbas,6936,99.98,73,1.00,285,3.91,2235,23.45
BA,Brumado,41055,99.98,573,1.33,1581,3.66,7874,15.41
BA,Buerarema,9194,99.98999999999997,114,1.19,327,3.39,3269,25.33
BA,Buritirama,11339,99.99999999999999,72,0.60,464,3.91,4436,27.20
BA,Caatiba,4443,100.02000000000001,38,0.81,200,4.27,1857,28.40
BA,Cabaceiras do Paraguaçu,10145,100.00000000000003,144,1.35,378,3.54,2766,20.59
BA,Cachoeira,19530,100.01,300,1.47,622,3.04,5901,22.39
BA,Caculé,13709,100.0,230,1.59,561,3.87,3479,19.35
BA,Caem,5899,100.01,58,0.93,276,4.43,1754,21.96
BA,Caetanos,7489,99.99999999999999,67,0.86,272,3.47,2770,26.14
BA,Caetité,32756,100.00000000000001,383,1.11,1418,4.10,7581,17.99
BA,Cafarnaum,10844,100.00999999999999,162,1.42,372,3.27,3487,23.46
BA,Cairu,10612,100.01,171,1.53,378,3.39,2780,19.94
BA,Caldeirão Grande,7526,100.00000000000001,82,1.04,252,3.21,2911,27.03
BA,Camacã,13153,100.01000000000002,152,1.10,482,3.50,4862,26.07
BA,Camaçari,149384,100.00000000000001,2943,1.86,6585,4.14,33050,17.22
BA,Camamu,17484,100.02,265,1.44,702,3.80,8307,31.04
BA,Campo Alegre de Lourdes,17262,100.0,103,0.58,528,2.95,7287,28.94
BA,Campo Formoso,43098,100.0,662,1.45,1699,3.74,11846,20.67
BA,Canápolis,6548,100.00999999999999,73,1.06,250,3.64,1992,22.48
BA,Canarana,15219,100.00999999999999,135,0.85,432,2.74,4377,21.71
BA,Canavieiras,17291,100.0,182,1.00,678,3.74,6703,26.97
BA,Candeal,6052,99.99,61,0.97,216,3.41,1382,17.92
BA,Candeias,50238,100.00000000000001,922,1.73,1881,3.55,13118,19.83
BA,Candiba,8429,99.99000000000002,128,1.43,361,4.05,2019,18.46
BA,Cândido Sales,14775,100.00000000000001,151,0.98,495,3.21,4704,23.37
BA,Cansanção,22094,100.0,200,0.88,629,2.74,7125,23.71
BA,Canudos,9756,100.0,62,0.61,369,3.62,3135,23.53
BA,Capela do Alto Alegre,7048,99.99,141,1.87,337,4.48,2288,23.31
BA,Capim Grosso,17960,100.02000000000001,282,1.49,685,3.62,5792,23.43
BA,Caraíbas,6304,99.98999999999998,58,0.89,214,3.25,2381,26.58
BA,Caravelas,11556,100.0,136,1.12,443,3.65,4281,26.08
BA,Cardeal da Silva,5421,100.0,96,1.66,285,4.91,2171,27.23
BA,Carinhanha,16902,100.01000000000003,135,0.77,518,2.95,5670,24.41
BA,Casa Nova,44250,99.99000000000001,375,0.82,1385,3.01,10692,18.86
BA,Castro Alves,17302,100.00999999999999,177,0.98,552,3.06,5025,21.79
BA,Catolândia,3119,100.0,38,1.18,72,2.23,711,18.05
BA,Catu,31182,100.0,808,2.42,1408,4.22,8506,20.30
BA,Caturama,5353,100.0,85,1.50,239,4.21,1955,25.62
BA,Central,10293,100.0,151,1.40,354,3.28,2960,21.51
BA,Chorrochó,6750,99.99000000000001,63,0.89,220,3.13,2197,23.80
BA,Cícero Dantas,19280,100.02,278,1.37,669,3.31,6542,24.44
BA,Cipó,10173,100.01,98,0.91,441,4.12,3665,25.49
BA,Coaraci,11450,100.0,137,1.14,460,3.82,4817,28.56
BA,Cocos,11622,100.01,125,1.03,353,2.92,3610,22.98
BA,Conceição da Feira,13574,99.99000000000001,227,1.58,553,3.85,3231,18.37
BA,Conceição do Almeida,11541,100.0,148,1.22,424,3.50,3208,20.94
BA,Conceição do Coité,41975,100.0,755,1.71,1527,3.45,10024,18.47
BA,Conceição do Jacuípe,20551,99.98000000000002,363,1.68,708,3.27,5159,19.26
BA,Conde,13566,99.99000000000001,168,1.18,520,3.65,4994,25.95
BA,Condeúba,10634,100.00999999999999,164,1.46,507,4.48,4585,28.85
BA,Contendas do Sincorá,3293,100.00000000000001,52,1.50,108,3.13,850,19.75
BA,Coração de Maria,16780,99.99000000000001,233,1.31,662,3.75,4619,20.72
BA,Cordeiros,4904,100.0,60,1.15,237,4.56,2136,29.11
BA,Coribe,9198,100.0,110,1.15,308,3.20,2797,22.53
BA,Coronel João Sá,10789,100.0,125,1.10,439,3.87,2509,18.10
BA,Correntina,19772,100.00000000000001,266,1.28,825,3.95,7254,25.80
BA,Cotegipe,8765,99.99,55,0.61,166,1.85,2940,24.65
BA,Cravolândia,2917,99.99,65,2.06,179,5.66,1207,27.63
BA,Crisópolis,11631,100.0,137,1.12,503,4.10,5521,31.03
BA,Cristópolis,9146,100.00000000000001,123,1.28,335,3.49,2951,23.50
BA,Cruz das Almas,38429,99.98999999999998,629,1.56,1095,2.73,7289,15.36
BA,Curaçá,20116,99.99,164,0.79,606,2.90,5716,21.49
BA,Dário Meira,5702,99.99999999999997,79,1.31,247,4.10,2011,25.02
BA,Dias D'Ávila,39739,100.0,812,1.92,1685,3.99,11458,21.34
BA,Dom Basílio,8397,99.99,123,1.40,258,2.94,1741,16.55
BA,Dom Macedo Costa,3503,100.0,47,1.27,129,3.51,716,16.29
BA,Elísio Medrado,5525,100.02000000000002,109,1.85,265,4.49,1949,24.83
BA,Encruzilhada,11052,100.01000000000002,94,0.80,552,4.72,3689,23.97
BA,Entre Rios,22445,100.01000000000002,415,1.75,971,4.07,9315,28.10
BA,Érico Cardoso,5942,99.99000000000001,96,1.50,354,5.54,2440,27.63
BA,Esplanada,19584,100.00000000000001,307,1.49,741,3.59,6278,23.33
BA,Euclides da Cunha,34631,100.00999999999999,368,1.02,1042,2.89,11101,23.55
BA,Eunápolis,60666,100.01,784,1.24,2025,3.19,18075,22.16
BA,Fátima,11763,100.02,148,1.20,378,3.08,3636,22.83
BA,Feira da Mata,4006,99.98999999999997,34,0.82,81,1.97,1327,24.36
BA,Feira de Santana,343287,100.0,5228,1.45,12695,3.51,64267,15.10
BA,Filadélfia,11192,100.01000000000002,166,1.42,319,2.73,4000,25.52
BA,Firmino Alves,3613,100.01,44,1.15,153,4.02,1497,28.21
BA,Floresta Azul,5768,100.01,72,1.19,220,3.63,2181,26.47
BA,Formosa do Rio Preto,14737,100.00000000000003,113,0.74,467,3.05,4580,23.02
BA,Gandu,17394,100.00999999999999,240,1.31,741,4.03,5034,21.50
BA,Gavião,3243,100.00000000000001,50,1.47,127,3.71,1072,23.86
BA,Gentio do Ouro,7631,100.01,60,0.77,114,1.46,1782,18.59
BA,Glória,9895,100.01000000000002,101,0.98,295,2.87,3328,24.44
BA,Gongogi,3628,100.0,23,0.61,122,3.23,1519,28.70
BA,Governador Mangabeira,13508,100.0,192,1.35,442,3.13,3662,20.57
BA,Guajeru,4681,100.00999999999999,41,0.84,202,4.10,2498,33.66
BA,Guanambi,51530,100.01000000000003,764,1.40,2250,4.13,10217,15.78
BA,Guaratinga,10856,100.00000000000001,127,1.10,521,4.53,4479,28.02
BA,Heliópolis,9134,99.99000000000001,85,0.90,213,2.26,2390,20.22
BA,Iaçu,14100,100.01000000000002,151,1.01,683,4.57,7296,32.82
BA,Ibiassucê,6516,100.01,99,1.44,272,3.95,2012,22.61
BA,Ibicaraí,13805,100.00000000000003,161,1.12,448,3.11,4924,25.46
BA,Ibicoara,11614,100.00000000000003,195,1.56,633,5.09,2811,18.43
BA,Ibicuí,8631,99.99,93,1.03,338,3.73,2922,24.38
BA,Ibipeba,10618,100.00999999999999,108,0.98,275,2.50,2807,20.33
BA,Ibipitanga,9182,99.98000000000002,99,1.03,275,2.88,3824,28.58
BA,Ibiquera,2877,99.98,13,0.43,140,4.62,951,23.89
BA,Ibirapitanga,9916,100.01000000000002,124,1.19,389,3.73,3304,24.06
