ESTADO,MUNICíPIO,VOTOS VALIDOS,VOTOS VALIDOS PERCENTUAL,VOTOS BRANCOS,VOTOS BRANCOS PERCENTUAL,VOTOS NULOS,VOTOS NULOS PERCENTUAL,ABSTENÇÕES,ABSTENÇÕES PERCENTUAL
MA,Paulino Neves,10973,100.00000000000001,86,0.76,249,2.20,3984,26.05
MA,Paulo Ramos,11862,100.00000000000003,80,0.65,414,3.35,3720,23.14
MA,Pedreiras,22294,99.99000000000001,180,0.78,535,2.33,7892,25.54
MA,Pedro do Rosário,12605,99.99999999999999,67,0.51,444,3.39,5731,30.41
MA,Penalva,18290,100.01000000000003,103,0.54,522,2.76,9262,32.87
MA,Peri Mirim,8291,99.99000000000004,126,1.46,191,2.22,3395,28.28
MA,Peritoró,12128,99.99,73,0.58,318,2.54,3363,21.17
MA,Pindaré-Mirim,18760,100.00999999999999,165,0.85,484,2.49,6075,23.84
MA,Pinheiro,44578,100.01000000000003,469,1.02,1013,2.20,13634,22.84
MA,Pio Xii,14013,100.0,87,0.59,470,3.23,5780,28.40
MA,Pirapemas,9010,99.99000000000002,68,0.73,287,3.06,3176,25.32
MA,Poção de Pedras,10929,100.00000000000001,125,1.10,343,3.01,3181,21.82
MA,Porto Franco,13794,100.0,99,0.70,232,1.64,3432,19.55
MA,Porto Rico do Maranhão,4770,99.99999999999997,56,1.14,81,1.65,2128,30.25
MA,Presidente Dutra,23372,99.99000000000001,186,0.78,521,2.16,5601,18.87
MA,Presidente Juscelino,7333,99.99999999999997,34,0.45,170,2.26,3087,29.06
MA,Presidente Médici,3943,100.01999999999998,19,0.46,114,2.80,1344,24.80
MA,Presidente Sarney,10436,99.98,61,0.57,269,2.50,5245,32.76
MA,Presidente Vargas,7544,99.97999999999999,43,0.55,216,2.77,2676,25.54
MA,Primeira Cruz,7966,100.0,61,0.74,243,2.94,2909,26.02
MA,Raposa,16399,100.00999999999999,200,1.17,437,2.57,3481,16.97
MA,Riachão,12019,99.98999999999997,62,0.50,419,3.35,3649,22.60
MA,Ribamar Fiquene,4942,99.99999999999999,21,0.42,89,1.76,1707,25.26
MA,Rosário,23879,100.02,230,0.93,664,2.68,5455,18.05
MA,Sambaíba,4283,99.99,16,0.36,103,2.34,1282,22.55
MA,Santa Filomena do Maranhão,4581,100.01,31,0.66,82,1.75,998,17.53
MA,Santa Helena,16489,100.01000000000002,115,0.68,458,2.68,6007,26.04
MA,Santa Inês,45528,100.0,450,0.95,1052,2.24,11782,20.03
MA,Santa Luzia,32650,99.98,212,0.63,762,2.27,9323,21.71
MA,Santa Luzia do Paruá,12646,100.0,106,0.81,349,2.66,4706,26.43
MA,Santa Quitéria do Maranhão,15173,99.98,141,0.89,511,3.23,6479,29.05
MA,Santa Rita,18529,100.01,202,1.05,538,2.79,5357,21.75
MA,Santana do Maranhão,5766,99.99,38,0.64,147,2.47,2746,31.57
MA,Santo Amaro do Maranhão,8691,99.99000000000001,75,0.83,288,3.18,2423,21.11
MA,Santo Antônio dos Lopes,11359,100.00000000000003,80,0.69,271,2.31,3219,21.56
MA,São Benedito do Rio Preto,11580,99.99,71,0.59,321,2.68,2450,16.99
MA,São Bento,20057,99.97000000000001,203,0.98,608,2.91,7589,26.67
MA,São Bernardo,16050,100.00000000000001,125,0.75,538,3.22,6389,27.66
MA,São Domingos do Azeitão,4995,100.0,33,0.64,162,3.12,1113,17.66
MA,São Domingos do Maranhão,20492,99.99,260,1.20,889,4.11,7685,26.21
MA,São Félix de Balsas,2917,99.99999999999999,21,0.68,121,3.96,1147,27.27
MA,São Francisco do Brejão,6002,100.0,42,0.68,122,1.98,1869,23.26
MA,São Francisco do Maranhão,6752,99.98000000000002,83,1.16,315,4.41,2754,27.81
MA,São João Batista,14198,100.0,104,0.70,398,2.71,4900,25.00
MA,São João do Carú,7121,100.0,54,0.74,167,2.27,3701,33.51
MA,São João do Paraíso,6547,100.00999999999999,35,0.52,134,2.00,2031,23.22
MA,São João do Soter,10126,100.00000000000001,51,0.49,342,3.25,3029,22.36
MA,São João dos Patos,14511,99.99,181,1.19,534,3.51,5531,26.65
MA,São José de Ribamar,91840,99.99000000000001,1280,1.34,2188,2.30,20020,17.36
MA,São José dos Basílios,4845,99.99,27,0.54,101,2.03,1292,20.62
MA,São Luís,610825,99.99,8513,1.34,13933,2.20,119821,15.91
MA,São Luís Gonzaga do Maranhão,12352,99.99,82,0.64,398,3.10,4355,25.34
MA,São Mateus do Maranhão,20300,100.01,145,0.69,685,3.24,6513,23.56
MA,São Pedro da Água Branca,6883,100.01,23,0.32,166,2.35,2893,29.03
MA,São Pedro dos Crentes,3523,100.00000000000003,34,0.94,88,2.41,860,19.09
MA,São Raimundo das Mangabeiras,11481,99.99,102,0.85,327,2.75,4144,25.81
MA,São Raimundo do Doca Bezerra,3789,100.00000000000001,40,1.01,116,2.94,1617,29.07
MA,São Roberto,3458,100.01,9,0.25,104,2.91,1212,25.34
MA,São Vicente Ferrer,11137,100.00000000000001,145,1.24,446,3.80,4698,28.60
MA,Satubinha,5275,100.00000000000001,37,0.67,141,2.59,1752,24.32
MA,Senador Alexandre Costa,5851,99.99999999999999,27,0.45,168,2.78,2530,29.50
MA,Senador La Rocque,9095,99.99000000000001,67,0.71,238,2.53,3587,27.62
MA,Serrano do Maranhão,6474,100.0,42,0.63,224,3.32,2231,24.87
MA,Sítio Novo,11055,100.0,67,0.59,281,2.46,1982,14.81
MA,Sucupira do Norte,6467,100.01999999999998,54,0.81,193,2.87,2072,23.58
MA,Sucupira do Riachão,3232,99.99000000000001,36,1.04,165,4.81,1170,25.42
MA,Tasso Fragoso,5358,100.00000000000001,43,0.78,127,2.30,1569,22.11
MA,Timbiras,14236,100.01000000000002,91,0.62,497,3.35,5706,27.79
MA,Timon,92910,100.00999999999999,1054,1.09,3098,3.19,18620,16.10
MA,Trizidela do Vale,12913,99.99999999999997,100,0.75,313,2.35,3292,19.81
