codigo_tse,uf,MUNICÍPIO,capital,codigo_ibge,LULA VOTOS,LULA VOTOS PERCENTUAL,BOLSONARO VOTOS,BOLSONARO PERCENTUAL,CIRO VOTOS,CIRO VOTOS PERCENTUAL,TEBET VOTOS,TEBET VOTOS PERCENTUAL,OUTROS VOTOS,OUTROS VOTOS PERCENTUAL,ABSTENÇÕES,ABSTENÇÕES PERCENTUAL,VOTOS BRANCOS,VOTOS BRANCOS PERCENTUAL,VOTOS NULOS,VOTOS NULOS PERCENTUAL
87025,RS,MATO CASTELHANO,0,4312138,590,25.8,1553,67.91,56,2.45,75,3.28,0,0.0,421,15.35,18,0.77,16,0.69
87041,RS,MATO LEITÃO,0,4312153,1110,34.49,1817,56.46,72,2.24,187,5.81,0,0.0,564,14.37,79,2.35,64,1.9
89303,RS,MATO QUEIMADO,0,4312179,609,46.52,576,44.0,34,2.6,74,5.65,0,0.0,270,16.72,19,1.42,17,1.26
87459,RS,MAXIMILIANO DE ALMEIDA,0,4312203,1044,33.06,1894,59.97,47,1.49,139,4.4,0,0.0,696,17.38,82,2.47,68,2.06
88447,RS,MAÇAMBARÁ,0,4311718,1420,47.57,1321,44.25,85,2.85,145,4.86,0,0.0,903,22.84,38,1.24,27,0.89
87068,RS,MINAS DO LEÃO,0,4312252,2573,52.25,1950,39.6,103,2.09,263,5.34,0,0.0,1147,18.32,105,2.06,85,1.66
87475,RS,MIRAGUAÍ,0,4312302,2007,57.82,1306,37.63,76,2.19,67,1.93,0,0.0,635,15.14,51,1.44,36,1.01
85820,RS,MONTAURI,0,4312351,269,22.62,849,71.4,16,1.35,40,3.36,0,0.0,236,16.0,28,2.26,22,1.78
88803,RS,MONTE ALEGRE DOS CAMPOS,0,4312377,896,37.55,1316,55.16,54,2.26,108,4.53,0,0.0,772,23.7,68,2.73,32,1.29
87084,RS,MONTE BELO DO SUL,0,4312385,414,16.34,1931,76.2,45,1.78,114,4.5,0,0.0,405,13.46,34,1.31,36,1.38
87491,RS,MONTENEGRO,0,4312401,14071,38.5,18928,51.8,1122,3.07,1956,5.35,3,0.01,10380,21.43,781,2.05,723,1.9
87106,RS,MORMAÇO,0,4312427,917,41.89,1129,51.58,28,1.28,104,4.75,0,0.0,437,16.21,34,1.51,36,1.59
87122,RS,MORRINHOS DO SUL,0,4312443,840,32.68,1474,57.35,76,2.96,158,6.15,0,0.0,414,13.49,41,1.55,45,1.69
86185,RS,MORRO REDONDO,0,4312450,1596,39.44,1996,49.32,98,2.42,307,7.59,0,0.0,948,17.97,163,3.76,118,2.73
87149,RS,MORRO REUTER,0,4312476,1084,24.16,3019,67.28,108,2.41,202,4.5,1,0.02,690,12.89,73,1.56,103,2.21
87513,RS,MOSTARDAS,0,4312500,2826,41.76,3259,48.16,187,2.76,426,6.3,0,0.0,1837,20.58,149,2.11,174,2.45
88544,RS,MUITOS CAPÕES,0,4312617,647,30.77,1332,63.34,32,1.52,80,3.8,0,0.0,533,19.6,55,2.51,29,1.33
87165,RS,MULITERNO,0,4312625,801,48.31,723,43.61,57,3.44,71,4.28,0,0.0,363,17.29,54,3.11,24,1.38
87530,RS,MUÇUM,0,4312609,900,26.75,2146,63.79,55,1.63,237,7.05,0,0.0,611,14.84,88,2.51,54,1.54
87181,RS,NICOLAU VERGUEIRO,0,4312674,613,35.25,1014,58.31,39,2.24,65,3.74,0,0.0,406,18.5,31,1.73,19,1.06
87572,RS,NONOAI,0,4312708,3646,49.21,3415,46.09,190,2.56,138,1.86,0,0.0,1816,19.2,126,1.64,109,1.43
86169,RS,NOVA ALVORADA,0,4312757,623,27.17,1553,67.73,28,1.22,64,2.79,0,0.0,340,12.4,53,2.21,56,2.33
87599,RS,NOVA ARAÇÁ,0,4312807,692,21.63,2318,72.44,43,1.34,114,3.56,0,0.0,682,17.07,54,1.63,60,1.81
87610,RS,NOVA BASSANO,0,4312906,939,15.63,4722,78.6,117,1.95,175,2.91,0,0.0,899,12.66,114,1.84,82,1.32
87203,RS,NOVA BOA VISTA,0,4312955,521,30.59,929,54.55,74,4.35,137,8.04,0,0.0,228,11.45,35,1.98,25,1.42
87637,RS,NOVA BRÉSCIA,0,4313003,483,21.17,1624,71.17,55,2.41,89,3.9,0,0.0,387,14.21,21,0.9,33,1.41
88226,RS,NOVA CANDELÁRIA,0,4313011,712,32.59,1307,59.82,58,2.65,75,3.43,0,0.0,229,9.05,59,2.57,56,2.43
85120,RS,NOVA ESPERANÇA DO SUL,0,4313037,1493,44.69,1544,46.21,124,3.71,159,4.76,0,0.0,669,15.77,118,3.31,113,3.16
84816,RS,NOVA HARTZ,0,4313060,4634,38.87,6476,54.32,278,2.33,425,3.56,1,0.01,2080,14.4,224,1.81,221,1.79
87653,RS,NOVA PALMA,0,4313102,1766,41.59,1958,46.11,115,2.71,359,8.46,0,0.0,797,15.43,61,1.4,60,1.37
