Região,Tarcísio,Fernando Haddad,Rodrigo Garcia,Vinicius Poit,Elvis Cezar,Carol Vigliar,Gabriel Colombo,Altino,Antonio Jorge,Edson Dorta,VOTOS SOLTOS,PCT_SOLTOS,GSP
Grande São Paulo,3771333,4793152,2072022,234892,191941,52460,24953,9078,5646,2896,2593888,1001.6000000000001,39
Interior,6110662,3543987,2224271,154082,89771,36307,21774,5781,5132,2409,2539527,15365.4,0
