ESTADO,MUNICíPIO,LULA VOTOS,LULA VOTOS PERCENTUAL,BOLSONARO VOTOS,BOLSONARO PERCENTUAL,CIRO VOTOS,CIRO VOTOS PERCENTUAL,TEBET VOTOS,TEBET VOTOS PERCENTUAL,OUTROS VOTOS,OUTROS VOTOS PERCENTUAL,ABSTENÇÕES,ABSTENÇÕES PERCENTUAL,VOTOS BRANCOS,VOTOS BRANCOS PERCENTUAL,VOTOS NULOS,VOTOS NULOS PERCENTUAL
AC,Acrelândia,1516,21.3,5238,73.59,117,1.64,192,2.7,0,0.0,2228,23.40,45,0.62,130,1.78
AC,Assis Brasil,2003,41.12,2694,55.31,44,0.9,109,2.24,0,0.0,1371,21.46,22,0.44,126,2.51
AC,Brasiléia,4171,29.5,9143,64.67,249,1.76,496,3.51,1,0.01,3658,20.10,116,0.79,283,1.95
AC,Bujari,2130,29.33,4505,62.03,197,2.71,356,4.9,0,0.0,2415,24.28,70,0.93,199,2.64
AC,Capixaba,1630,27.12,3944,65.61,120,2.0,264,4.39,0,0.0,1670,21.31,36,0.58,119,1.93
AC,Cruzeiro do Sul,10770,23.83,30977,68.53,1267,2.8,1883,4.17,2,0.0,12529,21.17,487,1.04,975,2.09
AC,Epitaciolândia,2592,26.82,6494,67.18,142,1.47,377,3.9,0,0.0,2576,20.59,73,0.74,198,1.99
AC,Feijó,7930,52.1,6191,40.68,373,2.45,635,4.17,0,0.0,6896,30.31,116,0.73,518,3.27
AC,Jordão,2213,55.08,1515,37.71,120,2.99,157,3.91,0,0.0,1446,25.85,6,0.14,124,2.99
AC,Mâncio Lima,3236,31.59,6469,63.15,155,1.51,331,3.23,1,0.01,3205,23.27,82,0.78,240,2.27
AC,Manoel Urbano,2095,37.86,3141,56.76,114,2.06,126,2.28,0,0.0,2014,25.91,37,0.64,189,3.28
AC,Marechal Thaumaturgo,3238,40.18,4146,51.45,225,2.79,433,5.37,0,0.0,3081,27.12,31,0.38,190,2.29
AC,Plácido de Castro,2442,26.01,6209,66.12,189,2.01,489,5.21,0,0.0,2588,21.09,80,0.83,212,2.19
AC,Porto Acre,2490,24.27,7062,68.84,168,1.64,463,4.51,0,0.0,2600,19.73,91,0.86,229,2.16
AC,Porto Walter,2660,48.34,2143,38.94,214,3.89,451,8.2,0,0.0,1579,21.83,36,0.64,116,2.05
AC,Rio Branco,53560,26.3,130393,64.03,6878,3.38,10522,5.17,31,0.02,55951,20.97,2676,1.27,4556,2.16
AC,Rodrigues Alves,1839,20.74,6551,73.89,165,1.86,263,2.97,0,0.0,2695,22.86,59,0.65,169,1.86
AC,Santa Rosa do Purus,1357,53.89,1028,40.83,44,1.75,58,2.3,0,0.0,1158,30.73,15,0.57,77,2.95
AC,Sena Madureira,5811,26.67,14317,65.72,473,2.17,973,4.47,1,0.0,7852,25.91,185,0.83,486,2.16
AC,Senador Guiomard,3523,25.61,9134,66.4,349,2.54,654,4.75,0,0.0,3597,20.19,137,0.96,328,2.31
AC,Tarauacá,8042,43.45,9146,49.42,543,2.93,671,3.63,0,0.0,8312,30.10,196,1.02,603,3.12
AC,Xapuri,3774,40.32,5142,54.94,168,1.79,219,2.34,0,0.0,2414,19.96,68,0.71,255,2.63
AL,Água Branca,9295,86.22,890,8.26,238,2.21,321,2.98,0,0.0,4812,30.20,82,0.73,260,2.34
AL,Anadia,6234,72.55,1797,20.91,211,2.46,274,3.19,0,0.0,3636,28.72,142,1.58,290,3.21
AL,Arapiraca,59431,50.83,48456,41.44,3897,3.33,3938,3.37,12,0.01,28825,19.09,2015,1.65,3211,2.63
AL,Atalaia,13894,61.47,7105,31.43,422,1.87,964,4.26,1,0.0,7692,24.54,373,1.58,674,2.85
AL,Barra de Santo Antônio,5358,57.72,3400,36.63,171,1.84,292,3.15,0,0.0,2810,22.43,149,1.54,285,2.93
AL,Barra de São Miguel,2739,46.38,2769,46.89,146,2.47,198,3.35,0,0.0,1195,16.32,74,1.20,148,2.42
AL,Batalha,6244,65.06,2727,28.42,197,2.05,345,3.59,0,0.0,3138,24.02,109,1.10,218,2.20
AL,Belém,2442,70.01,790,22.65,51,1.46,187,5.36,0,0.0,1319,26.49,69,1.89,103,2.81
AL,Belo Monte,3192,71.55,1006,22.55,86,1.93,159,3.56,0,0.0,1386,23.00,43,0.93,136,2.93
AL,Boca da Mata,7789,57.56,4872,36.0,274,2.02,435,3.21,1,0.01,5407,27.62,244,1.72,392,2.77
AL,Branquinha,4230,69.08,1471,24.02,119,1.94,275,4.49,1,0.02,2730,29.98,89,1.40,164,2.57
AL,Cacimbinhas,4189,70.34,1310,22.0,125,2.1,306,5.14,0,0.0,2265,26.80,57,0.92,174,2.81
AL,Cajueiro,6482,64.78,2840,28.38,208,2.08,385,3.85,0,0.0,4045,27.80,175,1.67,325,3.09
AL,Campestre,2685,66.39,1074,26.56,108,2.67,149,3.68,0,0.0,1474,26.01,44,1.05,106,2.53
AL,Campo Alegre,11834,65.5,5279,29.22,349,1.93,368,2.04,1,0.01,6936,26.87,234,1.24,580,3.07
AL,Campo Grande,5082,77.45,1136,17.31,131,2.0,187,2.85,0,0.0,2069,23.15,108,1.57,199,2.90
AL,Canapi,7512,80.74,1239,13.32,190,2.04,263,2.83,0,0.0,3961,29.07,73,0.76,290,3.00
AL,Capela,5477,57.77,3392,35.78,180,1.9,384,4.05,1,0.01,3011,23.27,130,1.31,318,3.20
AL,Carneiros,3945,78.26,726,14.4,102,2.02,239,4.74,0,0.0,1729,24.84,48,0.92,142,2.71
AL,Chã Preta,3193,73.02,909,20.79,63,1.44,178,4.07,0,0.0,1479,24.29,57,1.23,181,3.93
AL,Coité do Nóia,5049,76.35,1109,16.77,173,2.62,207,3.13,0,0.0,2000,22.48,64,0.92,219,3.18
AL,Colônia Leopoldina,5517,53.62,4190,40.72,203,1.97,305,2.96,2,0.02,4032,27.16,160,1.48,364,3.37
AL,Coqueiro Seco,2367,59.79,1300,32.84,71,1.79,177,4.47,0,0.0,808,16.12,101,2.40,145,3.45
AL,Coruripe,13124,45.75,13580,47.34,738,2.57,957,3.34,2,0.01,9700,24.15,641,2.10,1129,3.71
AL,Craíbas,11172,75.89,2625,17.83,334,2.27,449,3.05,1,0.01,3959,20.50,210,1.36,420,2.74
AL,Delmiro Gouveia,22645,79.17,4486,15.68,573,2.0,783,2.74,3,0.01,9467,24.27,291,0.98,653,2.21
AL,Dois Riachos,4778,73.02,1399,21.38,96,1.47,248,3.79,0,0.0,2555,27.47,53,0.78,151,2.24
AL,Estrela de Alagoas,6284,79.77,1077,13.67,157,1.99,270,3.43,1,0.01,3748,31.20,85,1.03,302,3.65
AL,Feira Grande,9890,73.76,2657,19.82,304,2.27,467,3.48,0,0.0,3928,21.95,182,1.31,379,2.71
AL,Feliz Deserto,1629,66.65,709,29.01,25,1.02,68,2.78,0,0.0,948,26.90,41,1.59,91,3.53
AL,Flexeiras,3001,49.2,2685,44.02,142,2.33,173,2.84,0,0.0,2226,25.64,117,1.82,239,3.70
AL,Girau do Ponciano,15297,78.49,3102,15.92,454,2.33,491,2.52,0,0.0,7097,25.91,268,1.32,534,2.63
AL,Ibateguara,4787,60.43,2590,32.69,192,2.42,300,3.79,0,0.0,3032,26.67,162,1.95,253,3.03
AL,Igaci,10652,77.31,2325,16.87,231,1.68,443,3.22,0,0.0,5658,28.15,217,1.50,450,3.12
AL,Igreja Nova,9392,73.11,2704,21.05,219,1.7,441,3.43,0,0.0,4036,22.99,276,2.05,394,2.91
AL,Inhapi,7310,80.81,1213,13.41,163,1.8,329,3.64,1,0.01,3814,28.74,115,1.22,296,3.13
AL,Jacaré dos Homens,2829,77.87,610,16.79,63,1.73,104,2.86,0,0.0,1181,24.06,25,0.67,69,1.85
AL,Jacuípe,2904,68.54,1107,26.13,110,2.6,96,2.27,0,0.0,1271,22.36,51,1.16,125,2.83
AL,Japaratinga,2426,44.47,2754,50.49,81,1.48,142,2.6,0,0.0,1451,20.24,110,1.92,153,2.68
AL,Jaramataia,2843,75.63,702,18.68,82,2.18,114,3.03,0,0.0,1064,21.36,30,0.76,128,3.27
AL,Jequiá da Praia,3064,50.04,2669,43.59,144,2.35,211,3.45,0,0.0,1610,20.27,75,1.19,135,2.13
AL,Joaquim Gomes,7065,68.43,2685,26.01,161,1.56,330,3.2,0,0.0,3449,24.08,140,1.29,412,3.79
AL,Jundiá,1899,60.13,1037,32.84,72,2.28,122,3.86,0,0.0,1169,26.16,43,1.30,99,3.00
AL,Junqueiro,9073,63.69,4195,29.45,471,3.31,345,2.42,0,0.0,4853,24.49,235,1.58,481,3.21
AL,Lagoa da Canoa,8047,70.37,2722,23.8,235,2.06,311,2.72,2,0.02,3162,20.95,178,1.50,319,2.67
AL,Limoeiro de Anadia,10502,74.18,2946,20.81,330,2.33,206,1.46,0,0.0,4231,22.21,208,1.41,451,3.04
AL,Maceió,195714,40.43,240053,49.59,15549,3.21,25840,5.34,57,0.01,120136,19.08,9383,1.84,15992,3.14
AL,Major Isidoro,7253,66.43,3012,27.58,193,1.77,392,3.59,1,0.01,3880,25.46,133,1.17,308,2.71
AL,Mar Vermelho,1942,69.21,659,23.49,64,2.28,129,4.6,0,0.0,623,17.62,39,1.34,68,2.33
AL,Maragogi,6966,41.63,8865,52.97,336,2.01,410,2.45,2,0.01,4954,22.00,341,1.94,491,2.80
AL,Maravilha,4282,75.83,1005,17.8,193,3.42,133,2.36,0,0.0,2174,26.74,79,1.33,230,3.86
AL,Marechal Deodoro,13719,43.36,15343,48.49,756,2.39,1437,4.54,1,0.0,7776,19.00,575,1.74,925,2.79
AL,Maribondo,4974,63.99,2356,30.31,123,1.58,250,3.22,0,0.0,2200,21.28,97,1.19,267,3.28
AL,Mata Grande,9432,79.93,1814,15.37,198,1.68,317,2.69,0,0.0,5310,29.99,111,0.90,484,3.90
AL,Matriz de Camaragibe,5531,42.46,6749,51.81,242,1.86,377,2.89,0,0.0,4870,26.32,229,1.68,378,2.77
AL,Messias,5776,57.73,3675,36.73,172,1.72,289,2.89,0,0.0,3083,22.67,186,1.77,323,3.07
AL,Minador do Negrão,2486,70.17,793,22.38,86,2.43,141,3.98,0,0.0,1193,24.30,35,0.94,139,3.74
AL,Monteirópolis,3008,72.19,783,18.79,109,2.62,234,5.62,0,0.0,1649,27.59,46,1.07,114,2.63
AL,Murici,8770,60.95,4630,32.18,284,1.97,556,3.86,1,0.01,4865,24.24,377,2.48,438,2.88
AL,Novo Lino,3437,49.38,3075,44.17,157,2.26,228,3.28,0,0.0,2563,26.00,118,1.62,214,2.93
AL,Olho D'Água Grande,2689,78.08,557,16.17,48,1.39,137,3.98,0,0.0,1224,25.37,46,1.27,110,3.06
AL,Olho D'Água das Flores,7204,62.17,3652,31.52,240,2.07,416,3.59,0,0.0,3967,24.79,135,1.12,312,2.59
AL,Olho D'Água do Casado,4522,85.0,523,9.83,68,1.28,190,3.57,0,0.0,1949,26.18,48,0.87,128,2.33
AL,Olivença,5042,71.27,1564,22.11,141,1.99,279,3.94,0,0.0,2287,23.75,53,0.72,213,2.90
AL,Ouro Branco,5283,75.92,1252,17.99,153,2.2,197,2.83,0,0.0,2066,22.38,58,0.81,148,2.07
AL,Palestina,2442,73.93,600,18.17,78,2.36,151,4.57,0,0.0,1303,27.51,40,1.17,90,2.62
AL,Palmeira dos Índios,24549,62.34,12279,31.18,1014,2.57,1204,3.06,2,0.01,11185,21.26,701,1.69,1341,3.24
AL,Pão de Açúcar,9991,73.29,2810,20.61,279,2.05,485,3.56,0,0.0,4637,24.72,156,1.10,334,2.37
AL,Pariconha,5663,86.99,495,7.6,129,1.98,207,3.18,0,0.0,2354,25.97,48,0.71,152,2.27
AL,Paripueira,3984,46.77,3924,46.07,145,1.7,376,4.41,1,0.01,2195,19.84,141,1.59,209,2.36
AL,Passo de Camaragibe,5249,58.45,3278,36.5,143,1.59,265,2.95,0,0.0,2492,20.91,177,1.88,270,2.86
AL,Paulo Jacinto,3234,68.63,1147,24.34,90,1.91,178,3.78,0,0.0,1322,21.13,66,1.34,156,3.16
AL,Penedo,18665,61.47,9757,32.13,725,2.39,1013,3.34,1,0.0,10503,24.97,430,1.36,759,2.41
AL,Piaçabuçu,6621,66.25,2830,28.32,193,1.93,289,2.89,0,0.0,3182,23.48,115,1.11,262,2.53
AL,Pilar,10993,53.57,7913,38.56,434,2.12,978,4.77,2,0.01,5690,20.88,411,1.91,632,2.93
AL,Pindoba,1364,66.7,586,28.66,34,1.66,50,2.44,0,0.0,525,19.63,18,0.83,87,4.05
AL,Piranhas,10900,81.26,1800,13.42,230,1.71,382,2.85,0,0.0,4923,26.09,119,0.85,414,2.97
AL,Poço das Trincheiras,6285,81.8,880,11.45,195,2.54,253,3.29,0,0.0,2512,24.00,76,0.96,195,2.45
AL,Porto Calvo,6865,45.31,7327,48.36,353,2.33,487,3.21,0,0.0,5096,24.37,272,1.72,393,2.48
AL,Porto Real do Colégio,9354,76.46,2237,18.29,188,1.54,389,3.18,0,0.0,3448,21.37,188,1.48,265,2.09
AL,Porto de Pedras,2832,52.78,2235,41.65,103,1.92,160,2.98,0,0.0,1450,20.57,89,1.59,144,2.57
AL,Quebrangulo,5252,71.72,1672,22.83,159,2.17,177,2.42,0,0.0,2391,23.84,101,1.33,215,2.81
AL,Rio Largo,24603,50.74,20242,41.75,1131,2.33,2046,4.22,3,0.01,11274,18.12,1140,2.23,1317,2.59
AL,Roteiro,2381,58.94,1380,34.16,90,2.23,126,3.12,0,0.0,1316,23.63,63,1.48,151,3.55
AL,Santa Luzia do Norte,3033,62.39,1544,31.76,73,1.5,170,3.5,0,0.0,1015,16.67,74,1.46,140,2.76
AL,Santana do Ipanema,17264,71.42,5387,22.29,552,2.28,793,3.28,0,0.0,6942,21.66,289,1.15,644,2.57
AL,Santana do Mundaú,4696,73.47,1295,20.26,160,2.5,167,2.61,0,0.0,2315,25.73,100,1.49,191,2.86
AL,São Brás,3630,71.77,1218,24.08,63,1.25,130,2.57,0,0.0,1446,21.66,79,1.51,92,1.76
AL,São José da Laje,7207,58.77,4277,34.88,256,2.09,389,3.17,1,0.01,4450,25.65,208,1.61,429,3.33
AL,São José da Tapera,11182,76.1,2324,15.82,367,2.5,709,4.83,0,0.0,6218,28.76,181,1.18,529,3.43
AL,São Luís do Quitunde,8611,52.77,6839,41.91,285,1.75,429,2.63,1,0.01,6295,26.83,365,2.13,484,2.82
AL,São Miguel dos Campos,15501,48.86,13946,43.96,792,2.5,1182,3.73,4,0.01,9237,21.75,489,1.47,1019,3.07
AL,São Miguel dos Milagres,2718,49.81,2407,44.11,115,2.11,173,3.17,0,0.0,1633,22.17,105,1.83,172,3.00
AL,São Sebastião,13823,73.77,3872,20.66,440,2.35,443,2.36,1,0.01,6329,24.40,359,1.83,516,2.63
AL,Satuba,4732,47.19,4519,45.06,245,2.44,416,4.15,1,0.01,2041,16.34,165,1.58,254,2.43
AL,Senador Rui Palmeira,5175,79.47,867,13.31,122,1.87,304,4.67,0,0.0,2568,27.62,70,1.04,147,2.18
AL,Tanque D'Arca,3014,79.32,585,15.39,58,1.53,120,3.16,0,0.0,1495,27.22,59,1.48,138,3.45
AL,Taquarana,7510,74.62,1948,19.35,218,2.17,282,2.8,0,0.0,3538,24.99,153,1.44,400,3.77
AL,Teotônio Vilela,12651,61.69,6515,31.77,591,2.88,469,2.29,2,0.01,9016,29.41,391,1.81,743,3.43
AL,Traipu,9935,76.25,2204,16.92,271,2.08,525,4.03,0,0.0,4764,26.01,121,0.89,405,2.99
AL,União dos Palmares,19983,60.48,11002,33.3,736,2.23,1071,3.24,2,0.01,11787,25.49,467,1.35,954,2.77
AL,Viçosa,9441,62.76,4648,30.9,281,1.87,535,3.56,0,0.0,4496,22.18,284,1.80,450,2.85
AM,Alvarães,6014,70.8,1997,23.51,63,0.74,351,4.13,0,0.0,2641,23.35,20,0.23,155,1.79
AM,Amaturá,3857,73.02,1148,21.73,86,1.63,136,2.57,0,0.0,1394,20.50,21,0.39,102,1.89
AM,Anamã,3927,61.68,2041,32.06,65,1.02,291,4.57,0,0.0,2188,25.29,20,0.31,78,1.21
AM,Anori,4574,56.55,3066,37.9,73,0.9,321,3.97,0,0.0,2608,24.12,41,0.50,74,0.90
AM,Apuí,2885,36.97,4600,58.94,89,1.14,172,2.2,0,0.0,3752,32.09,50,0.63,86,1.08
AM,Atalaia do Norte,4724,77.92,1051,17.33,77,1.27,154,2.54,0,0.0,2768,30.89,18,0.29,113,1.82
AM,Autazes,13625,63.44,6885,32.06,279,1.3,499,2.32,0,0.0,6975,24.09,119,0.54,383,1.74
AM,Barcelos,4675,63.28,2299,31.12,98,1.33,218,2.95,0,0.0,4246,35.97,27,0.36,143,1.89
AM,Barreirinha,14691,89.19,1207,7.33,155,0.94,316,1.92,0,0.0,4337,20.58,45,0.27,223,1.33
AM,Benjamin Constant,13665,82.04,2372,14.24,146,0.88,363,2.18,0,0.0,5316,23.90,58,0.35,212,1.25
AM,Beruri,6423,62.57,3427,33.39,122,1.19,181,1.76,0,0.0,3408,24.65,37,0.36,117,1.12
AM,Boa Vista do Ramos,8269,86.44,985,10.3,67,0.7,185,1.93,0,0.0,3025,23.80,28,0.29,89,0.92
AM,Boca do Acre,7234,45.98,7640,48.56,220,1.4,418,2.66,0,0.0,6757,29.37,135,0.83,384,2.36
AM,Borba,12422,76.37,3231,19.86,185,1.14,294,1.81,0,0.0,4323,20.69,51,0.31,255,1.54
AM,Caapiranga,4577,65.05,2125,30.2,101,1.44,177,2.52,0,0.0,2498,25.96,24,0.34,64,0.90
AM,Canutama,3835,56.17,2657,38.91,91,1.33,169,2.48,0,0.0,3028,30.18,32,0.46,146,2.08
AM,Carauari,10185,73.98,2690,19.54,198,1.44,543,3.94,0,0.0,7469,34.66,64,0.45,250,1.78
AM,Careiro,10450,61.29,5472,32.09,238,1.4,706,4.14,1,0.01,6655,27.48,99,0.56,412,2.35
AM,Careiro da Várzea,7716,60.26,4226,33.0,171,1.34,542,4.23,0,0.0,3721,22.20,80,0.61,156,1.20
AM,Coari,20350,58.38,12606,36.16,454,1.3,1085,3.11,1,0.0,15648,30.59,173,0.49,481,1.35
AM,Codajás,6895,59.08,4334,37.14,131,1.12,214,1.83,0,0.0,4557,27.68,37,0.31,200,1.68
AM,Eirunepé,10000,71.08,3243,23.05,141,1.0,532,3.78,0,0.0,5526,27.55,103,0.71,359,2.47
AM,Envira,5052,69.27,1668,22.87,140,1.92,340,4.66,0,0.0,4552,37.67,36,0.48,202,2.68
AM,Fonte Boa,8484,74.26,2446,21.41,97,0.85,315,2.76,0,0.0,4677,28.64,47,0.41,180,1.54
AM,Guajará,3135,40.4,4154,53.53,141,1.82,242,3.12,0,0.0,3838,32.48,45,0.56,172,2.16
AM,Humaitá,12604,52.64,9836,41.08,386,1.61,881,3.68,1,0.0,8451,25.74,153,0.63,285,1.17
AM,Ipixuna,4784,64.33,2061,27.71,121,1.63,351,4.72,0,0.0,4235,35.42,50,0.65,233,3.02
AM,Iranduba,16381,54.3,11829,39.21,473,1.57,1157,3.84,1,0.0,5733,15.69,216,0.70,413,1.34
AM,Itacoatiara,33435,61.96,16981,31.47,1011,1.87,2083,3.86,5,0.01,16259,22.86,295,0.53,613,1.12
AM,Itamarati,3609,72.82,1124,22.68,55,1.11,138,2.78,0,0.0,2257,30.70,17,0.34,122,2.39
AM,Itapiranga,3679,57.85,2450,38.52,77,1.21,108,1.7,0,0.0,1892,22.67,23,0.36,71,1.10
AM,Japurá,1872,56.35,1152,34.68,41,1.23,228,6.86,0,0.0,1715,33.58,15,0.44,55,1.62
AM,Juruá,3019,58.68,1706,33.16,100,1.94,260,5.05,0,0.0,2550,32.39,28,0.52,151,2.84
AM,Jutaí,6454,69.96,2080,22.55,128,1.39,463,5.02,0,0.0,4825,33.71,30,0.31,232,2.45
AM,Lábrea,12010,63.84,5785,30.75,223,1.19,606,3.22,0,0.0,7949,29.31,75,0.39,288,1.50
AM,Manacapuru,30532,54.1,22942,40.65,838,1.48,1619,2.87,1,0.0,15095,20.77,363,0.63,768,1.33
AM,Manaquiri,7207,67.12,3025,28.17,90,0.84,337,3.14,0,0.0,3632,24.89,46,0.42,176,1.61
AM,Manaus,430562,37.02,622846,53.55,32622,2.8,59854,5.15,212,0.02,216041,15.23,15221,1.27,24314,2.02
AM,Manicoré,15479,63.91,7486,30.91,311,1.28,739,3.05,0,0.0,8630,26.02,85,0.35,233,0.95
AM,Maraã,4184,70.06,1535,25.7,48,0.8,153,2.56,0,0.0,3990,39.62,25,0.41,83,1.37
AM,Maués,22284,82.97,3705,13.8,306,1.14,386,1.44,0,0.0,9564,25.95,105,0.39,334,1.22
AM,Nhamundá,9242,83.94,1440,13.08,103,0.94,172,1.56,0,0.0,3179,22.22,33,0.30,87,0.78
AM,Nova Olinda do Norte,10813,76.89,2531,18.0,200,1.42,416,2.96,0,0.0,4744,24.89,64,0.45,186,1.30
AM,Novo Airão,4505,51.73,3677,42.22,138,1.58,290,3.33,0,0.0,2601,22.66,49,0.55,121,1.36
AM,Novo Aripuanã,6804,73.81,2021,21.92,102,1.11,225,2.44,0,0.0,4227,30.96,36,0.39,170,1.80
AM,Parintins,43220,79.54,7930,14.59,941,1.73,1836,3.38,2,0.0,17709,24.33,290,0.52,438,0.80
AM,Pauini,5206,68.72,2045,26.99,106,1.4,134,1.77,0,0.0,3686,32.28,23,0.30,134,1.73
AM,Presidente Figueiredo,9350,51.65,7515,41.51,434,2.4,611,3.37,1,0.01,6741,26.72,112,0.60,275,1.49
AM,Rio Preto da Eva,7313,51.94,5848,41.54,284,2.02,488,3.47,0,0.0,3752,20.68,91,0.63,217,1.51
AM,Santa Isabel do Rio Negro,3824,70.97,1253,23.26,78,1.45,173,3.21,0,0.0,3343,37.49,28,0.50,157,2.82
AM,Santo Antônio do Içá,8905,71.47,3027,24.3,153,1.23,287,2.3,0,0.0,3584,22.01,32,0.25,207,1.63
AM,São Gabriel da Cachoeira,16860,79.12,3733,17.52,176,0.83,419,1.97,0,0.0,10384,32.47,78,0.36,209,0.97
AM,São Paulo de Olivença,11870,81.4,2022,13.87,130,0.89,419,2.87,0,0.0,3634,19.60,51,0.34,273,1.83
AM,São Sebastião do Uatumã,2834,51.42,2323,42.14,78,1.42,224,4.06,0,0.0,1715,23.33,36,0.64,89,1.58
AM,Silves,5151,79.89,1043,16.18,65,1.01,155,2.4,0,0.0,1814,21.77,14,0.21,58,0.89
AM,Tabatinga,17437,64.94,7795,29.03,267,0.99,1052,3.92,0,0.0,9488,25.69,135,0.49,453,1.65
AM,Tapauá,4747,50.04,4204,44.31,146,1.54,290,3.06,0,0.0,4316,30.79,31,0.32,184,1.90
AM,Tefé,20784,62.59,10897,32.82,339,1.02,916,2.76,1,0.0,7959,19.06,168,0.50,423,1.25
AM,Tonantins,6363,80.22,1237,15.6,71,0.9,214,2.7,0,0.0,2453,23.25,18,0.22,149,1.84
AM,Uarini,4335,65.76,1859,28.2,79,1.2,267,4.05,0,0.0,2198,24.70,30,0.45,78,1.16
AM,Urucará,6686,75.78,1764,19.99,115,1.3,207,2.35,0,0.0,3267,26.66,45,0.50,119,1.32
AM,Urucurituba,7577,78.62,1810,18.78,62,0.64,135,1.4,0,0.0,3409,25.86,47,0.48,90,0.92
AP,Amapá,3159,59.07,1767,33.04,87,1.63,295,5.52,0,0.0,1385,20.21,28,0.51,92,1.68
AP,Calçoene,3556,58.03,2117,34.55,148,2.42,269,4.39,0,0.0,2013,24.35,29,0.46,97,1.55
AP,Cutias,2316,56.71,1475,36.12,65,1.59,201,4.92,0,0.0,892,17.72,14,0.34,43,1.04
AP,Ferreira Gomes,2491,50.6,2009,40.81,113,2.3,288,5.85,0,0.0,1047,17.19,27,0.54,95,1.88
AP,Itaubal,3026,51.52,2373,40.41,158,2.69,247,4.21,1,0.02,1351,18.43,21,0.35,86,1.44
AP,Laranjal do Jari,12198,58.87,7198,34.74,592,2.86,618,2.98,1,0.0,7629,26.42,162,0.76,368,1.73
AP,Macapá,101129,40.88,113733,45.98,9656,3.9,19296,7.8,41,0.02,57749,18.53,2151,0.84,4413,1.74
AP,Mazagão,9808,60.87,4924,30.56,370,2.3,862,5.35,0,0.0,2741,14.30,63,0.38,253,1.54
AP,Oiapoque,8885,63.12,4353,30.92,332,2.36,385,2.74,0,0.0,6713,31.66,136,0.94,280,1.93
AP,Pedra Branca do Amapari,4050,54.49,2967,39.92,133,1.79,230,3.09,0,0.0,2528,25.00,30,0.39,121,1.60
AP,Porto Grande,5510,53.41,4058,39.33,298,2.89,378,3.66,0,0.0,3582,25.27,66,0.63,209,1.97
AP,Pracuúba,1660,54.62,1231,40.51,37,1.22,94,3.09,0,0.0,644,17.30,11,0.36,29,0.94
AP,Santana,28840,42.31,32615,47.85,2299,3.37,3802,5.58,8,0.01,13641,16.38,464,0.67,995,1.43
AP,Serra do Navio,1173,39.52,1619,54.55,66,2.22,90,3.03,0,0.0,833,21.56,16,0.53,47,1.55
AP,Tartarugalzinho,4521,56.53,2996,37.46,162,2.03,268,3.35,0,0.0,2190,21.16,42,0.51,123,1.51
AP,Vitória do Jari,5060,66.45,2186,28.71,154,2.02,174,2.28,0,0.0,2385,23.45,29,0.37,141,1.81
BA,Abaíra,3274,64.74,1433,28.34,123,2.43,111,2.19,0,0.0,1721,23.97,97,1.78,306,5.60
BA,Abaré,8798,76.33,2331,20.22,246,2.13,71,0.62,0,0.0,2626,18.00,95,0.79,344,2.88
BA,Acajutiba,6794,77.28,1548,17.61,167,1.9,156,1.77,0,0.0,3015,24.64,109,1.18,322,3.49
BA,Adustina,7373,80.08,1332,14.47,308,3.35,85,0.92,1,0.01,2169,18.30,116,1.20,358,3.70
BA,Água Fria,7125,78.63,1461,16.12,262,2.89,135,1.49,0,0.0,3305,25.30,140,1.43,555,5.69
BA,Aiquara,2193,73.86,634,21.35,65,2.19,36,1.21,0,0.0,1058,25.29,34,1.09,123,3.93
BA,Alagoinhas,56247,66.45,22020,26.02,2811,3.32,2620,3.1,4,0.0,22262,19.88,1708,1.90,3391,3.78
BA,Alcobaça,8984,69.22,3430,26.43,212,1.63,252,1.94,0,0.0,5304,28.16,167,1.24,382,2.82
BA,Almadina,2736,78.51,615,17.65,49,1.41,49,1.41,0,0.0,1508,29.24,27,0.74,137,3.75
BA,Amargosa,13958,66.71,6033,28.83,444,2.12,273,1.3,1,0.0,6837,23.66,342,1.55,794,3.60
BA,Amélia Rodrigues,11548,77.48,2458,16.49,361,2.42,367,2.46,0,0.0,4075,20.59,270,1.72,543,3.45
BA,América Dourada,8144,82.64,1362,13.82,191,1.94,112,1.14,0,0.0,3336,24.75,75,0.74,215,2.12
BA,Anagé,10563,75.15,2610,18.57,360,2.56,356,2.53,0,0.0,4840,24.54,137,0.92,687,4.62
BA,Andaraí,6190,84.84,894,12.25,82,1.12,67,0.92,0,0.0,2992,27.80,81,1.04,395,5.08
BA,Andorinha,8676,88.88,825,8.45,137,1.4,77,0.79,0,0.0,2280,18.32,100,0.98,305,3.00
BA,Angical,7497,76.64,1925,19.68,132,1.35,137,1.4,1,0.01,2741,21.27,70,0.69,291,2.87
BA,Anguera,5840,82.2,1024,14.41,99,1.39,100,1.41,0,0.0,1900,20.32,99,1.33,245,3.29
BA,Antas,5699,70.14,1960,24.12,218,2.68,139,1.71,0,0.0,2520,22.94,77,0.91,263,3.11
BA,Antônio Cardoso,8080,88.26,787,8.6,86,0.94,131,1.43,0,0.0,1773,15.73,85,0.89,257,2.71
BA,Antônio Gonçalves,4885,75.26,1355,20.88,120,1.85,90,1.39,0,0.0,2046,23.21,65,0.96,213,3.15
BA,Aporá,7625,76.7,1710,17.2,249,2.5,235,2.36,0,0.0,3805,26.62,135,1.28,413,3.94
