ESTADO,MUNICíPIO,LULA VOTOS,LULA VOTOS PERCENTUAL,BOLSONARO VOTOS,BOLSONARO PERCENTUAL,CIRO VOTOS,CIRO VOTOS PERCENTUAL,TEBET VOTOS,TEBET VOTOS PERCENTUAL,OUTROS VOTOS,OUTROS VOTOS PERCENTUAL,ABSTENÇÕES,ABSTENÇÕES PERCENTUAL,VOTOS BRANCOS,VOTOS BRANCOS PERCENTUAL,VOTOS NULOS,VOTOS NULOS PERCENTUAL
RS,São João da Urtiga,1243,36.74,1915,56.61,49,1.45,140,4.14,0,0.0,534,12.94,140,3.90,69,1.92
RS,São João do Polêsine,698,34.22,1164,57.06,33,1.62,124,6.08,0,0.0,469,18.26,28,1.34,32,1.52
RS,São Jorge,443,21.23,1507,72.21,26,1.25,90,4.31,0,0.0,301,12.28,42,1.95,21,0.98
RS,São José das Missões,1072,59.69,621,34.58,62,3.45,29,1.61,0,0.0,344,15.70,26,1.41,25,1.35
RS,São José do Herval,803,52.18,637,41.39,49,3.18,45,2.92,0,0.0,483,23.33,22,1.38,26,1.64
RS,São José do Hortêncio,617,20.22,2207,72.31,62,2.03,129,4.23,0,0.0,356,10.10,58,1.83,59,1.86
RS,São José do Inhacorá,659,34.89,1001,52.99,73,3.86,138,7.31,0,0.0,268,12.06,33,1.69,32,1.64
RS,São José do Norte,8331,52.62,5466,34.52,560,3.54,1281,8.09,0,0.0,3634,17.83,502,3.00,408,2.44
RS,São José do Ouro,1470,31.01,2931,61.84,71,1.5,233,4.92,0,0.0,809,14.04,132,2.66,83,1.68
RS,São José do Sul,408,24.8,1043,63.4,49,2.98,115,6.99,0,0.0,211,10.83,49,2.82,43,2.48
RS,São José dos Ausentes,878,37.27,1345,57.09,26,1.1,93,3.95,0,0.0,698,22.37,34,1.41,32,1.32
RS,São Leopoldo,54968,43.17,61965,48.66,3837,3.01,5009,3.93,15,0.01,35948,21.41,2331,1.76,2253,1.71
RS,São Lourenço do Sul,11979,43.93,12720,46.64,790,2.9,1495,5.48,1,0.0,7572,21.09,567,2.00,493,1.74
RS,São Luiz Gonzaga,9815,50.04,8397,42.81,522,2.66,772,3.94,1,0.01,6607,24.52,386,1.89,339,1.67
RS,São Marcos,2996,22.42,9083,67.97,335,2.51,716,5.36,1,0.01,2091,12.97,274,1.95,393,2.80
RS,São Martinho,1407,34.66,2401,59.15,65,1.6,152,3.74,0,0.0,666,13.71,57,1.36,75,1.79
