muncod,Lula,Padre Kelmon,Sofia Manzano,Constituinte Eymael,Soraya Thronicke,Ciro Gomes,Vera,Simone Tebet,Jair Bolsonaro,Felipe D'Avila,Léo Péricles
ac01120,1516,6,0,0,37,117,1,192,5238,11,0
ac01570,2003,2,1,0,11,44,5,109,2694,2,0
ac01058,4171,4,4,3,53,249,2,496,9143,12,1
ac01007,2130,9,2,0,58,197,1,356,4505,5,0
ac01015,1630,0,1,0,46,120,0,264,3944,6,0
ac01074,10770,31,18,2,171,1267,6,1883,30977,72,4
ac01112,2592,6,2,0,46,142,2,377,6494,4,1
ac01139,7930,2,6,0,69,373,1,635,6191,11,2
ac01104,2213,2,2,0,6,120,1,157,1515,2,0
ac01554,2095,2,5,1,47,114,0,126,3141,3,0
ac01040,3238,3,1,0,10,225,1,433,4146,1,1
ac01090,3236,6,4,1,32,155,1,331,6469,8,1
ac01511,2442,6,1,0,43,189,0,489,6209,11,0
ac01023,2490,6,3,1,53,168,1,463,7062,12,0
ac01066,2660,6,1,0,27,214,0,451,2143,1,0
ac01392,53560,154,80,31,1314,6878,45,10522,130393,600,52
ac01082,1839,3,1,1,35,165,0,263,6551,8,0
ac01031,1357,2,0,0,26,44,0,58,1028,3,0
ac01457,5811,19,3,2,163,473,1,973,14317,23,1
ac01538,3523,3,2,1,75,349,0,654,9134,14,0
ac01473,8042,5,4,1,78,543,8,671,9146,10,0
ac01490,3774,2,3,0,44,168,1,219,5142,6,1
al27030,6234,18,3,0,45,211,3,274,1797,8,0
al27057,59431,226,41,12,730,3897,19,3938,48456,158,19
al27073,13894,42,7,1,142,422,5,964,7105,20,2
al27090,5358,9,5,0,37,171,1,292,3400,9,1
al27111,2739,9,1,0,37,146,1,198,2769,5,0
al27138,6244,9,1,0,64,197,1,345,2727,8,1
al27170,3192,3,1,0,14,86,0,159,1006,0,0
al27154,2442,4,2,0,8,51,0,187,790,3,1
al27197,7789,32,2,1,108,274,2,435,4872,15,2
al27219,4230,6,3,1,14,119,1,275,1471,2,1
al27235,4189,5,2,1,10,125,0,306,1310,7,0
al27251,6482,19,3,0,60,208,2,385,2840,7,0
al27081,2685,6,0,2,16,108,0,149,1074,2,2
al27278,11834,24,3,1,189,349,1,368,5279,18,1
al27294,5082,7,2,0,15,131,1,187,1136,1,0
al27316,7512,4,1,0,87,190,1,263,1239,4,3
al27332,5477,14,1,1,23,180,1,384,3392,7,1
al27359,3945,4,0,0,14,102,3,239,726,6,2
al27375,3193,9,1,0,19,63,0,178,909,0,1
al27391,5049,6,1,0,60,173,0,207,1109,7,1
al27413,5517,21,2,2,37,203,2,305,4190,8,3
al27430,2367,11,0,0,27,71,1,177,1300,5,0
al27456,13124,72,5,2,187,738,3,957,13580,19,2
al28894,11172,10,4,1,112,334,1,449,2625,12,1
al27472,22645,19,9,6,52,573,4,783,4486,23,3
al27499,4778,5,0,0,14,96,1,248,1399,1,1
al27049,6284,12,2,5,64,157,1,270,1077,5,1
al27510,9890,12,3,0,63,304,2,467,2657,11,0
al27537,1629,3,0,0,8,25,0,68,709,1,1
al27553,3001,20,1,0,72,142,1,173,2685,3,1
al27570,15297,20,3,0,108,454,1,491,3102,8,4
al27596,4787,11,2,0,30,192,0,300,2590,6,4
al27618,10652,24,0,1,89,231,4,443,2325,8,1
al27634,9392,12,2,0,69,219,1,441,2704,7,0
al27650,7310,3,4,1,17,163,1,329,1213,4,1
al27677,2829,1,0,1,21,63,0,104,610,4,0
al27693,2904,5,0,0,12,110,1,96,1107,2,0
al27715,2426,9,0,0,38,81,0,142,2754,3,2
al27731,2843,1,0,1,16,82,0,114,702,0,0
al27065,3064,3,1,1,24,144,0,211,2669,4,2
al27758,7065,12,8,0,45,161,2,330,2685,12,4
al27774,1899,5,2,0,18,72,0,122,1037,2,1
al27790,9073,17,4,0,118,471,1,345,4195,22,0
al27812,8047,13,4,2,87,235,4,311,2722,8,2
al27839,10502,109,3,0,59,330,0,206,2946,3,0
al27855,195714,1010,181,57,3826,15549,120,25840,240053,1438,287
al27871,7253,9,1,2,46,193,1,392,3012,8,2
al27979,1942,2,0,0,7,64,0,129,659,3,0
al27898,6966,32,3,2,97,336,5,410,8865,14,5
al27910,4282,8,0,1,24,193,0,133,1005,1,0
al27936,13719,99,9,1,210,756,11,1437,15343,46,10
al27952,4974,25,4,1,34,123,0,250,2356,4,2
al27995,9432,4,8,0,21,198,3,317,1814,4,0
al28010,5531,36,4,0,73,242,0,377,6749,11,3
al28037,5776,21,2,0,62,172,0,289,3675,5,3
al28053,2486,18,0,1,15,86,3,141,793,0,0
al28070,3008,4,2,0,23,109,1,234,783,3,0
al28096,8770,22,6,1,100,284,5,556,4630,13,3
al28118,3437,17,3,0,40,157,3,228,3075,1,0
al28134,7204,13,0,1,42,240,7,416,3652,12,1
al28150,4522,2,3,0,11,68,0,190,523,1,0
al28177,2689,2,1,0,10,48,0,137,557,0,0
al28193,5042,8,0,0,38,141,0,279,1564,1,2
al28215,5283,6,2,0,61,153,1,197,1252,4,0
al28231,2442,2,1,0,22,78,2,151,600,3,2
al28258,24549,84,13,4,180,1014,2,1204,12279,42,8
al27022,5663,5,0,0,6,129,2,207,495,3,0
al27006,3984,16,2,1,55,145,2,376,3924,12,1
al28290,5249,8,0,1,30,143,1,265,3278,4,1
al28312,3234,10,2,0,42,90,1,178,1147,6,2
al28339,18665,48,10,1,123,725,4,1013,9757,17,2
al28355,6621,6,4,0,41,193,1,289,2830,8,1
al28371,10993,35,5,2,130,434,6,978,7913,16,7
al28398,1364,3,1,0,7,34,0,50,586,0,0
al28410,10900,12,3,0,78,230,2,382,1800,6,1
al28452,6865,27,3,1,83,353,1,487,7327,5,0
al28479,2832,8,0,0,25,103,0,160,2235,2,1
al28495,9354,10,2,0,48,188,2,389,2237,4,0
al28436,6285,28,1,0,37,195,1,253,880,3,0
al28274,9991,13,5,0,39,279,4,485,2810,4,2
al28517,5252,9,3,1,49,159,0,177,1672,1,0
al28533,24603,76,9,3,294,1131,4,2046,20242,63,18
al28550,2381,9,1,0,47,90,0,126,1380,4,2
al28576,3033,3,0,0,23,73,0,170,1544,11,4
al28592,17264,22,5,0,118,552,5,793,5387,24,3
al28614,4696,30,0,1,35,160,0,167,1295,8,0
al28770,4732,17,1,2,79,245,2,416,4519,7,8
al28916,5175,8,0,0,26,122,1,304,867,7,2
al28630,3630,3,0,0,11,63,1,130,1218,1,1
al28657,7207,24,6,1,96,256,2,389,4277,3,2
al28673,11182,15,3,0,79,367,4,709,2324,10,1
al28690,8611,45,6,1,89,285,2,429,6839,8,3
al28711,15501,59,13,4,178,792,9,1182,13946,36,6
al28738,2718,13,2,1,23,115,0,173,2407,4,1
al28754,13823,20,4,1,118,440,7,443,3872,8,1
al28797,3014,3,0,0,20,58,0,120,585,0,0
al28819,7510,15,1,0,80,218,2,282,1948,8,1
al28932,12651,31,3,2,218,591,3,469,6515,20,3
al28835,9935,9,0,0,75,271,2,525,2204,7,1
al28851,19983,43,12,2,145,736,10,1071,11002,29,5
al28878,9441,22,2,0,96,281,4,535,4648,13,1
al27014,9295,5,3,0,19,238,3,321,890,6,1
am02895,6014,2,1,1,64,63,0,351,1997,1,0
am02917,3857,0,0,1,49,86,0,136,1148,3,2
am02933,3927,0,2,0,38,65,0,291,2041,3,0
am02038,4574,1,0,1,45,73,1,321,3066,7,0
am02003,2885,1,1,0,45,89,0,172,4600,11,0
am02054,4724,1,1,1,54,77,0,154,1051,0,0
am02070,13625,9,5,0,164,279,1,499,6885,8,2
am02097,4675,1,1,0,93,98,2,218,2299,1,0
am02119,14691,9,2,0,88,155,1,316,1207,2,0
am02135,13665,4,2,1,95,146,0,363,2372,9,0
am02950,6423,3,2,1,104,122,2,181,3427,0,0
am02976,8269,3,0,0,51,67,0,185,985,6,0
am02151,7234,9,5,1,199,220,0,418,7640,7,1
am02178,12422,6,1,1,110,185,1,294,3231,14,0
am02992,4577,2,0,0,52,101,0,177,2125,2,0
am02194,3835,2,0,2,66,91,1,169,2657,3,2
am02216,10185,3,4,1,139,198,0,543,2690,4,1
am02232,10450,9,3,1,149,238,2,706,5472,18,2
am02046,7716,9,0,0,121,171,2,542,4226,14,4
am02259,20449,11,5,7,310,456,1,1088,12717,28,4
am02275,6895,7,1,0,74,131,0,214,4334,13,1
am02291,10000,5,4,0,132,141,0,532,3243,11,0
am02313,5052,4,1,3,79,140,0,340,1668,4,2
am02330,8484,3,0,1,74,97,0,315,2446,4,0
am02020,3135,4,5,0,74,141,0,242,4154,4,1
am02356,12604,8,6,2,174,386,1,881,9836,41,6
am02399,4784,8,2,0,107,121,1,351,2061,2,0
am98353,16381,18,1,2,265,473,5,1157,11829,30,6
am02410,33435,22,13,5,340,1011,8,2083,16981,59,6
am98370,3609,0,0,0,24,55,0,138,1124,6,0
am02437,3679,2,0,1,40,77,1,108,2450,2,0
am02453,1872,1,0,0,26,41,0,228,1152,2,0
am02470,3019,3,1,0,52,100,0,260,1706,4,0
am02496,6454,5,2,1,81,128,0,463,2080,11,0
am02518,12010,14,2,3,153,223,1,606,5785,16,0
am02534,30532,18,8,4,415,838,3,1619,22942,56,1
am98396,7207,1,1,0,72,90,0,337,3025,4,0
am02550,430562,1059,353,212,10300,32622,331,59854,622846,4539,419
am02577,15479,5,1,0,180,311,1,739,7486,18,0
am02593,4184,4,0,1,42,48,2,153,1535,3,0
am02615,22284,6,4,1,153,306,0,386,3705,10,2
am02631,9242,3,2,0,44,103,0,172,1440,4,0
am02658,10813,2,1,1,90,200,0,416,2531,8,1
am02011,4505,3,1,0,82,138,1,290,3677,11,1
am02674,6804,0,0,0,59,102,1,225,2021,6,0
am02690,43220,20,4,4,316,941,2,1836,7930,56,7
am02712,5206,2,2,0,74,106,0,134,2045,6,1
am98418,9350,7,4,1,138,434,3,611,7515,35,6
am98434,7313,7,3,0,116,284,1,488,5848,17,2
am02372,3824,2,0,0,56,78,0,173,1253,2,0
am02739,8905,4,0,2,77,153,1,287,3027,2,1
am02771,5151,1,0,1,25,65,0,155,1043,6,1
am02836,16860,4,3,0,104,176,6,419,3733,5,0
am02755,11870,2,2,1,132,130,0,419,2022,4,0
am98450,2834,1,2,0,39,78,1,224,2323,10,0
am98477,17437,17,6,0,251,267,4,1052,7795,24,0
am02798,4747,1,1,0,95,146,0,290,4204,2,1
am02810,20784,8,3,2,234,339,1,916,10897,20,1
am98515,6363,1,0,0,44,71,0,214,1237,2,0
am98493,4335,2,1,0,47,79,0,267,1859,2,0
am02852,6686,0,1,0,41,115,2,207,1764,7,0
am02879,7577,4,0,0,45,62,2,135,1810,3,0
ap06017,3159,3,1,0,32,87,0,295,1767,4,0
ap06033,3556,2,0,2,30,148,1,269,2117,3,0
ap06068,2316,0,1,0,24,65,0,201,1475,1,1
ap06114,2491,3,0,0,14,113,3,288,2009,2,0
ap06041,3026,4,1,3,55,158,2,247,2373,2,2
ap06130,12198,14,1,3,78,592,2,618,7198,13,4
ap06050,101129,248,94,41,1978,9656,116,19296,113733,989,85
ap06076,9808,10,4,0,112,370,1,862,4924,22,0
ap06092,8885,9,4,2,90,332,5,385,4353,11,0
ap06025,5510,5,3,0,50,298,1,378,4058,13,1
ap06009,1660,2,1,0,13,37,0,94,1231,1,0
ap06157,28840,43,17,11,358,2299,11,3802,32615,157,8
ap06106,1173,0,0,0,11,66,1,90,1619,7,1
ap06173,4521,2,0,0,42,162,1,268,2996,3,2
ap06122,5060,6,2,0,32,154,0,174,2186,1,0
ap06084,4050,8,1,0,36,133,0,230,2967,7,1
ba33030,8798,7,0,1,69,246,1,71,2331,1,1
ba33014,3274,5,3,0,104,123,0,111,1433,3,1
ba33057,6794,38,0,0,80,167,1,156,1548,6,1
ba33065,7373,7,3,1,93,308,1,85,1332,2,2
ba33111,2193,0,3,0,37,65,0,36,634,1,0
ba33138,56247,58,28,4,690,2811,38,2620,22020,108,17
ba33154,8984,4,2,1,85,212,2,252,3430,7,0
ba33170,2736,1,1,1,31,49,0,49,615,2,0
ba33197,13958,10,5,1,162,444,2,273,6033,34,1
ba33219,11548,17,4,0,130,361,2,367,2458,15,2
ba30716,8144,2,1,0,34,191,1,112,1362,7,1
ba33235,10563,13,5,0,134,360,1,356,2610,14,0
ba33251,6190,5,0,1,47,82,0,67,894,9,1
ba33260,8676,3,1,1,36,137,1,77,825,4,0
ba33278,7497,6,2,1,71,132,5,137,1925,4,2
ba33294,5840,3,4,0,27,99,0,100,1024,7,1
ba33316,5699,10,1,2,90,218,0,139,1960,6,0
ba33332,8080,3,2,0,54,86,3,131,787,7,2
ba33359,4885,2,0,0,36,120,1,90,1355,2,0
ba33375,7625,12,1,0,105,249,1,235,1710,2,1
ba33405,3122,3,3,1,24,106,1,54,1125,1,0
ba33391,7610,6,1,0,53,161,0,134,1769,4,0
ba33413,23385,24,10,2,208,747,2,374,3682,31,6
ba33430,5832,1,0,0,80,164,2,114,839,5,0
ba30732,3091,2,0,0,37,117,0,71,1149,4,0
ba33456,5022,6,0,1,64,101,0,128,987,2,1
ba33383,6089,2,3,0,79,144,0,112,1217,5,1
ba33472,5086,4,5,1,46,126,1,169,1617,5,1
ba33499,6815,5,2,0,81,138,1,179,2072,4,0
ba33510,7404,9,3,0,122,259,2,197,2712,14,3
ba33529,6093,3,0,0,75,232,1,117,1417,2,1
ba33537,21605,21,10,0,226,411,1,383,4079,11,2
ba33553,11769,14,1,0,69,322,1,291,3367,15,0
ba33570,16219,10,12,0,165,462,4,513,3681,11,7
ba33596,8342,7,2,3,53,166,0,130,824,7,2
ba33618,1893,1,0,0,15,106,0,81,856,1,0
ba33634,47952,42,10,9,373,1854,5,1950,30197,194,12
ba30759,6585,3,1,2,57,273,1,135,1268,12,2
ba33650,3067,3,1,0,52,82,0,133,959,7,1
ba30775,8997,4,2,1,80,227,1,130,1347,10,3
ba33677,7605,5,2,1,76,188,1,227,3057,5,2
ba33693,8583,7,6,0,102,240,5,177,2421,13,2
ba33715,7882,7,4,0,59,148,2,157,1017,7,0
ba33731,7118,5,2,0,107,157,0,140,1001,11,2
ba33758,7431,8,2,1,108,197,2,178,2390,4,2
ba33774,27731,20,7,7,171,667,6,573,7159,39,7
ba33782,5451,6,0,0,33,123,0,100,673,7,1
ba33790,5537,4,1,1,67,137,1,89,1943,6,1
ba33804,7602,4,3,0,35,209,0,123,1365,5,0
ba33812,10579,4,4,1,52,163,0,100,879,7,0
ba33839,5457,3,1,0,78,170,0,46,946,4,1
ba33871,4217,7,2,0,70,117,0,121,1442,8,0
ba33855,5775,3,5,0,57,161,1,152,1836,4,0
ba33898,5239,6,1,0,48,189,1,103,1338,10,1
ba33910,27831,14,10,2,265,917,4,702,11262,46,2
ba33936,3581,5,5,0,140,176,0,374,4907,6,0
ba30791,8737,6,2,0,161,214,0,192,2019,6,2
ba33952,2950,2,2,0,43,74,0,145,1221,4,2
ba33960,8433,6,3,0,117,172,1,164,1240,8,1
ba33979,15921,13,2,2,156,337,1,360,2713,20,5
ba33995,9571,7,3,1,165,356,0,267,3307,30,2
ba34010,4810,7,1,1,44,138,0,70,823,3,2
ba34029,6535,2,0,0,16,116,0,93,719,8,0
ba34037,25307,23,12,6,209,800,4,503,5835,49,8
ba34053,7945,5,1,0,75,241,2,175,2392,6,2
ba34070,6846,13,2,0,91,177,3,261,3211,6,2
ba34096,5986,4,1,0,91,179,1,96,1164,3,1
ba34118,7618,5,5,1,122,295,1,371,4708,25,2
ba34150,11173,16,3,3,232,364,3,487,5185,15,3
ba34134,96759,59,41,17,1560,4986,24,4095,41549,235,59
ba34177,14265,9,3,2,110,269,0,163,2430,9,2
ba34193,30654,20,10,2,486,1094,6,767,10017,39,3
ba34231,11925,6,0,0,86,375,0,246,2569,11,1
ba34258,10936,11,9,3,156,316,3,569,5265,17,6
ba34274,4651,6,3,0,36,71,1,108,1165,9,2
ba34290,40234,35,2,0,449,978,5,1000,7471,61,3
ba34312,6436,9,3,0,99,131,1,88,1654,8,0
ba34355,18667,7,5,0,188,345,2,203,2660,15,2
ba30856,7993,2,4,1,67,165,2,83,1434,3,2
ba34215,5233,4,3,1,35,85,3,65,1115,4,0
ba30813,5117,5,5,1,47,201,1,136,1527,8,0
ba30830,11588,10,3,1,106,597,1,239,5393,21,1
ba34371,7646,6,3,0,111,186,1,191,3387,18,7
ba34363,4701,8,0,0,55,243,0,115,1173,9,0
ba34398,4743,2,1,0,22,103,1,49,500,0,0
ba34410,11160,10,2,2,160,372,2,241,4943,10,0
ba34436,34612,24,12,1,176,745,2,445,8205,26,2
ba34452,13961,5,0,1,104,270,3,244,2701,12,1
ba34479,2448,2,1,0,15,38,0,56,559,0,0
ba34495,23703,20,15,0,240,912,4,727,5531,27,3
ba34509,4477,5,0,0,80,87,2,59,635,8,0
ba34517,8101,6,0,0,69,257,0,137,1712,9,2
ba34533,5651,9,0,0,38,116,0,81,854,1,0
ba34576,6813,5,3,1,68,241,2,178,2849,10,3
ba34592,7483,6,5,0,62,239,3,266,3373,11,2
ba34614,7878,9,2,1,129,157,0,102,3332,11,1
ba34630,10569,9,2,1,85,227,2,344,2329,6,0
ba34657,9457,4,2,0,108,151,0,129,1683,6,1
ba34673,26448,24,7,2,390,1121,2,485,13460,27,9
ba34690,14526,6,3,1,196,497,7,601,4685,25,4
ba34711,10418,5,3,1,151,240,1,266,2475,4,2
ba34738,7264,8,6,1,115,324,2,250,2659,5,0
ba34754,2475,2,0,0,25,90,0,51,647,3,0
ba34770,13554,10,4,1,118,290,2,282,2505,14,0
ba34797,3144,3,1,2,52,153,1,118,1422,7,1
ba34819,6845,2,0,0,89,130,1,105,2015,10,1
ba34835,8511,10,0,0,78,275,1,120,1783,9,2
ba34851,14605,14,8,0,163,414,2,277,4278,7,4
ba34878,7011,0,0,0,50,80,0,117,1499,7,1
ba34894,2376,0,2,0,16,61,1,38,422,1,0
ba34932,6615,7,1,1,84,195,0,171,2066,3,3
ba34916,9712,4,4,0,95,238,1,120,1447,9,1
ba34959,25821,28,6,1,261,872,8,847,10527,51,7
ba34975,15857,6,4,1,97,454,1,228,3457,10,1
ba34339,10433,6,3,6,93,366,1,259,3599,9,0
ba34550,14472,9,4,1,117,497,3,274,3889,11,3
ba30872,28630,18,8,5,390,1180,2,971,8478,53,4
ba35017,7163,3,2,0,30,165,0,64,964,6,0
ba35033,2505,3,0,0,33,69,0,65,823,5,0
ba34991,4307,4,3,2,52,115,0,118,1099,1,1
ba35050,4017,2,1,0,37,93,2,95,1276,2,0
ba35076,7979,5,4,0,53,226,1,261,2507,13,3
ba35092,17300,7,3,2,156,504,8,436,4011,16,2
ba35114,15155,10,7,1,137,302,4,382,3561,22,3
ba35130,27893,16,13,6,202,835,7,426,5200,27,6
ba30058,31206,35,10,6,319,1551,6,1730,25685,103,15
ba35149,2518,1,0,0,24,71,0,43,1347,2,0
ba35157,211813,156,104,61,2210,9655,68,11074,107271,770,105
ba30910,8322,10,1,0,119,188,1,234,2303,14,0
ba35173,2440,3,1,0,14,66,0,61,1025,2,1
ba35190,4280,0,2,0,27,107,1,125,1211,13,2
ba35211,10304,18,2,1,80,265,0,280,3774,13,0
ba30899,9803,8,2,1,79,322,0,162,1376,9,1
ba35238,10590,13,3,0,144,347,1,391,5887,17,1
ba30937,2253,2,1,0,20,98,0,90,776,3,0
ba35254,6387,6,2,2,22,137,0,78,996,1,0
ba35270,8601,12,4,0,55,151,3,60,1004,3,2
ba35297,2733,3,1,0,22,81,0,55,730,3,0
ba35319,10550,9,2,0,193,319,1,340,2083,10,1
ba30953,4004,4,1,0,19,105,1,45,498,4,0
ba35335,33200,21,21,3,281,1236,8,823,15837,93,7
ba35351,7396,7,4,1,80,210,1,188,2958,9,2
ba30970,7650,5,3,0,81,311,2,159,914,8,1
ba35378,11194,15,4,1,92,216,1,201,2362,11,3
ba35394,4397,2,1,0,101,198,0,86,1713,17,1
ba35416,8693,8,4,2,127,246,1,384,4322,17,1
ba35432,7834,7,5,1,77,219,0,204,3255,11,1
ba35459,6091,8,3,0,54,225,3,116,2126,4,1
ba35475,8933,6,0,2,25,191,0,82,1374,4,1
ba35513,6784,3,1,0,54,195,0,116,2025,4,0
ba35530,2371,3,1,0,34,54,0,61,352,1,0
ba35556,7057,6,2,1,91,187,0,252,2314,2,4
ba35572,2937,2,1,0,22,70,0,87,2494,4,1
ba35599,6742,10,4,3,117,240,1,313,3370,12,4
ba35610,6617,10,4,1,69,174,1,129,1620,7,0
ba35637,9885,1,5,0,50,271,1,137,1828,6,1
ba35653,11020,7,6,0,90,228,3,229,4324,6,2
ba35670,3632,1,0,0,19,108,1,70,875,4,0
ba35696,8175,6,1,0,40,155,2,135,1038,7,0
ba35700,4713,8,2,0,74,177,1,159,1274,3,2
ba35718,8560,13,6,1,91,190,0,217,3794,15,2
ba35734,57891,69,34,11,730,2761,20,4250,34109,153,26
ba35750,15361,13,2,2,158,409,0,457,3554,13,5
ba35777,8782,6,3,0,75,200,0,179,1617,7,3
ba35793,15249,12,8,3,132,431,1,535,7099,48,8
ba35815,26950,20,8,0,257,844,3,602,5830,36,5
ba35831,4593,0,2,1,42,131,2,99,1632,8,0
ba35858,3031,3,1,0,29,58,0,36,741,2,1
ba35874,4955,1,1,0,53,94,0,81,1138,6,0
ba35890,12688,7,4,0,45,193,0,134,1287,5,0
ba35912,14300,5,2,0,193,518,3,367,3120,6,7
ba35939,27119,13,4,3,146,1215,3,480,9898,39,5
ba35947,9622,7,2,1,100,264,4,269,5592,10,3
ba35955,26701,13,10,4,245,828,3,929,8447,49,6
ba35971,56676,70,42,12,864,3415,22,5003,46949,221,16
ba35998,9733,8,2,0,71,200,3,178,3239,12,1
ba36013,5509,7,0,0,67,81,0,73,2032,7,1
ba36030,4861,9,3,0,91,122,1,128,1927,3,1
ba36056,5867,3,1,0,66,157,0,168,2504,2,1
ba36072,2838,4,2,2,25,93,0,120,1172,7,0
ba36080,6766,4,1,0,53,106,0,64,1072,3,0
ba36099,2269,1,2,0,39,60,1,67,1489,1,0
ba36110,8235,6,2,0,71,206,1,326,3499,11,1
ba36137,16691,17,7,2,278,490,5,783,15716,24,6
ba36153,3080,6,0,1,22,108,0,85,1233,4,0
ba36170,9489,4,5,2,88,270,1,352,3594,13,1
ba36196,3575,2,3,0,30,84,0,65,698,1,0
ba36218,6718,10,5,0,60,233,2,234,3507,24,4
ba36234,11033,4,2,0,105,223,3,283,2443,6,2
ba36277,4103,4,2,0,28,85,0,116,1265,3,1
ba36293,19052,24,8,4,262,796,3,967,15715,51,11
ba36315,13715,15,2,0,121,403,2,239,2266,6,1
ba36331,3198,3,3,0,24,70,1,104,1084,5,1
ba36250,4021,1,1,0,45,141,0,128,1935,4,3
ba36358,3447,3,1,0,43,87,1,57,1004,2,1
ba36374,6164,10,0,0,59,177,0,166,3658,5,2
ba36382,6727,7,1,0,135,185,1,153,2359,2,0
ba36390,4863,3,2,1,58,156,1,98,1582,6,0
ba36412,14896,5,6,0,160,433,2,327,4921,14,2
ba36439,7555,8,4,2,80,269,0,253,3782,12,0
ba36455,8148,11,10,0,127,263,1,219,2949,4,0
ba36471,7740,7,2,0,132,326,1,282,4318,16,2
ba30660,5186,1,2,0,6,119,0,55,1137,1,0
ba30678,5184,8,3,0,45,103,1,73,1471,2,0
ba36498,6682,4,3,0,31,206,0,127,1371,6,0
ba36510,32313,29,22,3,269,1181,7,762,10729,56,29
ba36536,17054,15,6,7,104,455,4,412,7142,20,3
ba36552,12274,7,6,1,188,547,1,309,3380,21,4
ba36579,8935,6,4,1,88,181,2,260,1786,2,0
ba36595,5061,3,1,0,47,108,1,91,902,3,1
ba36617,55276,43,31,7,632,2547,14,2408,27874,112,18
ba36633,17545,10,5,1,186,392,3,248,3240,15,4
ba36650,6306,1,1,0,53,191,0,159,1525,2,2
ba36676,6397,5,5,0,83,163,4,152,2108,6,2
ba30996,9351,4,4,3,97,334,1,180,4345,13,0
ba36692,82560,51,27,11,585,3131,14,2553,37379,172,19
ba36706,4189,18,1,0,84,110,1,141,1583,7,2
ba36714,8970,3,2,0,81,137,1,77,806,7,0
ba30694,2119,2,0,0,27,39,1,72,1082,1,0
ba36730,3764,4,0,3,45,109,0,96,974,11,0
ba36757,2497,1,3,0,21,61,0,47,512,2,0
ba36765,6563,8,3,0,100,195,0,78,974,3,0
ba36773,10847,14,8,1,130,243,1,173,3501,6,1
ba36811,2110,3,0,1,17,41,0,36,411,0,1
ba36820,3716,3,1,0,28,95,0,57,765,3,0
ba36790,1890,2,2,2,9,62,0,39,1179,1,0
ba36838,5014,3,0,0,24,84,0,62,529,0,1
ba39730,13753,9,0,1,79,329,1,148,3301,8,1
ba36854,74506,58,24,13,888,4005,19,3621,34005,296,58
ba36870,4989,5,0,1,29,79,0,48,815,5,0
ba36897,5394,6,2,1,50,145,1,68,1698,7,1
ba36919,20337,15,9,3,135,572,0,345,5427,32,5
ba30007,22196,23,6,4,194,1175,2,939,28942,95,4
ba36935,5138,3,4,2,67,102,1,153,1375,6,2
ba36951,5424,11,2,1,111,164,0,157,3222,14,0
ba36978,18848,15,5,0,214,537,4,312,4233,35,5
ba36994,4209,4,0,0,26,157,0,56,603,4,0
ba39748,9982,11,1,0,63,271,2,259,2151,6,1
ba39756,3395,1,0,0,50,168,1,77,786,3,0
ba37010,3295,6,2,1,35,72,0,86,1929,3,2
ba37036,7524,5,4,4,104,227,0,156,1945,4,3
ba37052,7190,3,1,0,58,167,0,104,2601,4,3
ba37079,4332,2,4,0,38,110,0,75,1422,6,0
ba37095,7707,2,2,0,38,231,1,145,1392,8,0
ba39772,5517,3,1,0,66,133,0,135,1021,1,1
ba37117,11856,13,4,0,118,326,1,298,2878,9,1
ba37133,21245,10,6,0,214,380,0,613,4210,19,2
ba37150,7976,6,2,1,110,152,1,260,2029,13,3
ba37176,4252,8,0,0,34,70,1,63,956,1,0
ba37192,4796,8,1,0,44,141,0,93,1558,3,0
ba37214,23148,16,6,9,215,627,5,638,5855,38,3
ba37222,6273,4,1,0,59,99,2,55,673,5,0
ba37230,8215,11,5,2,53,197,0,185,5164,10,3
ba37257,10530,10,5,2,110,301,2,275,3942,10,4
ba37273,5078,7,3,2,69,85,1,74,1517,2,0
ba37290,7212,5,2,2,96,132,1,127,1690,9,1
ba37303,4593,2,3,2,25,141,1,71,985,3,1
ba37311,26669,14,14,1,161,620,3,237,3250,14,5
ba37338,4139,1,1,0,55,69,3,46,1343,5,0
ba37354,14845,11,8,1,186,518,3,301,3608,11,0
ba37370,4080,5,2,0,65,174,0,182,2184,9,1
ba37397,5054,2,5,0,101,135,1,101,1981,1,0
ba37419,11160,16,8,1,122,348,1,468,8197,42,6
ba37427,7141,1,2,1,50,220,0,85,739,2,2
ba37435,8409,14,5,1,109,230,1,178,1845,5,1
ba37451,4795,1,2,0,45,96,1,134,1125,2,1
ba37460,5581,2,1,0,39,79,0,100,1415,2,0
ba37478,13585,9,8,2,171,385,6,316,2452,22,3
ba37494,9398,8,4,0,141,289,0,333,2933,13,1
ba37516,12977,5,1,2,135,295,0,363,3307,20,2
ba37532,5160,8,2,2,93,123,1,168,1491,5,1
ba39799,5932,2,4,3,70,114,0,77,1177,2,0
ba37559,6842,9,3,0,36,168,2,149,1598,7,5
ba37567,4316,5,1,0,41,132,1,120,1182,14,0
ba39969,2504,2,1,0,24,84,3,74,1195,1,0
ba37575,3576,5,1,1,42,75,0,73,976,2,0
ba37583,4042,0,1,0,10,89,0,52,508,2,1
ba37591,12760,9,4,2,113,341,2,174,1707,11,6
ba37613,11496,17,6,5,236,300,3,491,9678,20,2
ba39942,5514,3,2,1,71,181,2,120,1328,4,0
ba37621,4727,6,0,0,69,167,0,98,885,2,0
ba37630,11800,11,6,5,67,295,1,154,1907,1,2
ba37656,10094,6,1,0,52,213,3,148,1918,18,2
