muncod,Lula,Padre Kelmon,Sofia Manzano,Constituinte Eymael,Soraya Thronicke,Ciro Gomes,Vera,Simone Tebet,Jair Bolsonaro,Felipe D'Avila,Léo Péricles
pr79731,1576,4,0,1,6,45,0,124,1873,3,0
pr79138,2488,2,2,1,36,164,0,288,3250,23,1
pr79154,15669,29,7,11,191,1246,7,1791,21166,169,5
pr79170,3276,9,4,0,33,226,0,352,6302,35,5
pr79197,3130,4,1,0,35,140,1,327,5235,9,0
pr79219,3219,2,3,0,24,156,1,231,6915,20,1
pr79235,5345,5,2,1,66,272,2,486,4831,28,0
pr79251,4014,7,4,0,74,184,2,502,4633,29,2
pr79278,24725,52,23,13,356,2078,18,3093,52366,469,25
pr79294,2124,8,0,0,14,93,1,254,2464,7,1
pr79871,3094,2,3,0,14,121,0,160,3858,10,0
pr74888,1943,7,1,0,29,57,1,85,1848,11,0
pr79316,1879,1,1,0,19,75,0,117,2950,8,0
pr79936,1316,2,0,2,16,62,0,128,3475,9,0
pr84530,5341,6,4,0,30,172,1,405,3196,19,0
pr79332,4993,6,6,1,40,219,1,553,8948,31,3
pr79359,16880,44,28,5,219,1470,6,2300,40972,267,14
pr79391,906,0,0,1,4,17,0,54,767,1,0
pr79375,11229,21,7,9,192,835,6,1454,16584,194,11
pr79413,2674,5,2,0,30,133,1,285,3609,16,0
pr74900,3121,4,0,1,24,88,0,194,2399,11,1
pr79898,1976,2,0,0,17,53,3,175,2973,15,0
pr79456,3141,2,2,0,10,93,0,125,2399,12,1
pr74969,1298,1,0,0,19,48,0,114,1342,1,0
pr79472,1705,4,2,0,23,73,1,153,2406,17,1
pr79430,3765,7,3,3,45,254,0,430,6300,20,3
pr79499,1681,1,1,0,8,65,2,123,2226,13,0
pr74128,713,1,0,0,12,23,1,100,1294,1,0
rj58017,31926,84,30,14,314,2434,10,2254,60443,241,39
rj58181,2982,4,3,3,15,147,1,231,4290,14,1
rj58033,23067,57,28,10,391,2091,19,2853,46791,179,50
rj58220,2899,17,3,2,32,231,1,353,4052,31,2
rj58408,7812,14,8,6,68,696,3,719,15040,58,33
rj59277,8067,11,8,4,93,683,5,710,13917,55,12
rj58050,24596,72,21,9,246,1431,14,2331,23125,163,34
rj58076,44825,91,25,43,531,2916,22,4272,49812,402,48
rj58041,97771,192,80,36,1713,6189,54,6896,137708,529,166
rj58092,6323,17,7,1,82,547,1,752,8314,57,5
rj58114,9416,23,10,5,76,531,3,693,11658,50,6
rj58130,37586,69,46,28,467,3393,25,4191,75184,385,158
rj58157,12743,20,9,2,196,815,9,1005,19018,66,9
rj58173,4565,1,2,1,22,154,2,298,4418,24,2
rj58190,93871,239,121,48,1599,7145,47,11492,159381,688,131
rj58211,5231,11,6,3,53,334,6,409,5891,36,3
rj58300,4102,5,4,3,32,190,2,269,5139,8,4
rj58068,3252,6,2,1,72,165,1,213,4974,7,1
rj58238,5838,8,4,1,30,268,0,336,4715,45,3
rj58254,7670,15,8,2,87,612,6,698,15817,86,17
rj58165,3686,12,3,0,28,156,0,213,2442,24,2
rj58270,6540,6,4,2,55,395,0,490,5655,30,3
rj58297,5672,8,4,1,40,441,1,376,6479,34,8
rj58319,3650,11,4,0,17,251,1,314,3382,21,1
rj58335,202089,397,164,86,2613,13245,175,15475,267993,1331,412
rj58351,4095,3,2,3,32,229,0,364,3942,31,1
rj58106,12058,22,6,6,166,762,2,1149,17591,84,18
rj58262,5984,14,2,1,90,493,3,723,12769,57,17
rj58378,53532,94,50,17,773,3326,20,4125,70172,333,65
rj58394,24174,61,23,16,437,1878,14,2440,41991,195,32
rj59293,2823,12,2,1,38,131,0,254,5275,17,4
rj58416,4954,10,4,1,44,366,2,517,9266,42,2
rj58432,18208,50,19,9,232,1170,5,1923,34039,173,17
rj58440,7952,12,4,3,108,507,4,793,9947,71,8
rj58149,22887,36,27,5,314,1318,11,1624,29752,114,32
rj58459,3165,9,1,0,22,105,0,131,2042,4,3
rj58475,54503,74,47,18,467,3921,35,4512,62716,529,92
rj58386,2721,8,3,0,19,154,2,171,2514,9,1
rj58491,57530,119,45,18,875,3384,28,4606,81901,319,80
rj58513,9879,19,8,3,113,682,2,938,16728,77,7
rj58530,50619,72,34,18,391,2848,15,3309,52811,331,51
rj58556,5449,7,2,1,52,292,1,521,5307,50,10
rj58467,38687,86,38,20,544,2839,26,3327,58124,305,70
rj58572,7069,18,4,3,76,494,7,744,9503,48,12
rj58599,8499,13,2,0,78,416,4,496,7018,33,7
rj58610,4313,8,2,2,37,235,0,348,4499,32,1
rj58637,38004,108,44,16,523,2893,31,3343,55143,347,116
rj58653,147370,219,198,61,1028,14448,117,14663,135810,2419,211
rj58670,41896,74,75,17,455,4318,28,5135,60118,598,44
rj58696,164947,359,143,65,2504,12647,113,14379,263912,1343,381
rj58718,9826,26,10,2,102,661,3,817,14164,55,11
rj58750,8407,22,12,1,52,644,5,681,14315,64,10
rj58734,10387,22,11,2,132,704,5,1223,12627,101,10
rj59315,6164,18,2,0,96,489,2,708,10092,26,2
rj58777,59874,248,98,40,817,7157,46,9157,97310,1315,120
rj58246,7297,7,5,2,51,357,2,503,5749,40,8
rj58793,8004,11,8,0,69,493,8,680,8049,50,8
rj58815,5286,11,5,1,27,268,0,332,4182,15,0
rj58327,5750,9,5,4,52,322,5,419,7202,43,5
rj58025,4065,6,6,1,29,198,2,265,3823,34,2
rj58122,30421,71,31,11,460,2005,22,2575,41093,197,49
rj58009,7299,5,5,1,51,305,2,468,6273,30,6
rj58831,25588,60,21,12,384,2103,16,3625,39464,404,25
rj58858,11329,26,12,5,150,1041,9,1277,20773,129,16
rj58874,5649,10,3,3,53,286,1,393,5163,28,4
rj58890,3937,7,1,0,17,110,1,257,2046,14,0
rj58203,23471,53,31,12,233,2044,22,2317,41639,281,25
rj60011,1568485,3018,2228,588,15862,135073,1257,159208,1695777,23280,3508
rj58912,3213,8,2,2,26,183,1,292,2953,22,0
rj58939,9097,24,4,4,102,537,3,686,13656,70,6
rj59072,5142,13,6,2,54,219,0,353,6568,33,4
rj59099,17521,37,14,20,264,1232,20,1937,32668,137,31
rj58424,16026,40,10,4,237,1198,12,1456,25064,95,18
rj59110,5123,8,5,4,81,282,1,475,8284,35,5
rj59137,3536,17,3,0,43,217,0,281,6700,18,5
rj58955,7828,17,8,1,86,523,0,674,13737,45,5
rj58289,8792,26,8,5,111,486,3,921,16831,31,1
rj58971,208703,367,187,84,2405,15337,120,16593,246578,1555,292
rj58343,2074,2,2,2,33,113,1,199,3289,12,0
rj59331,2425,14,2,0,69,289,1,381,9263,54,5
rj58998,10893,16,10,6,153,656,1,1041,16398,72,6
rj59013,107385,275,138,21,1491,7276,62,8474,149764,704,217
rj59030,13718,30,19,13,228,1274,12,1674,34986,154,41
rj59056,2690,1,0,0,19,128,1,172,3025,10,0
rj58360,8097,14,1,3,101,436,4,521,10634,38,5
rj59153,27703,90,47,16,464,2960,17,4326,59100,466,35
rj59170,3399,11,1,2,20,134,2,263,2927,9,1
rj59196,23726,42,8,6,248,1354,15,1842,19910,185,23
rj59218,22058,27,14,14,219,1143,10,1866,15066,169,17
rj58084,2152,2,1,2,27,169,0,193,3851,33,2
rj59234,10263,18,7,4,107,587,10,882,10379,72,10
rj59250,76843,134,78,31,737,5180,61,7184,81346,841,110
rn16012,4703,4,2,0,20,228,3,165,1968,10,4
rn16055,5383,5,0,0,10,294,2,107,1884,11,1
rn16098,7344,1,2,1,7,273,0,56,1129,4,1
rn16110,3318,1,0,0,12,116,1,53,652,6,0
rn16136,6989,2,0,4,14,302,0,89,1522,9,0
rn16152,5262,1,1,0,9,302,2,110,2171,8,2
rn16179,3915,1,1,1,6,119,1,25,602,1,0
rn16195,17646,7,3,4,20,1028,5,595,4412,28,1
rn16217,10803,12,2,0,18,643,3,273,4487,17,2
rn16233,5985,3,2,2,24,278,1,111,2362,3,0
rn16039,24909,9,9,2,72,1249,2,426,7671,40,3
rn30031,10983,9,2,1,45,581,2,121,4493,8,3
rn16292,2201,0,0,1,4,132,0,49,1254,1,0
rn16276,3327,3,1,0,6,201,0,75,1806,4,0
rn16314,3026,0,0,1,9,104,0,51,725,2,0
rn17035,3537,5,3,0,13,167,1,116,1996,1,0
rn16101,2055,0,1,0,1,74,0,26,473,1,0
rn16330,4295,3,0,1,14,154,0,107,2230,12,0
rn16357,5065,6,5,0,16,213,1,195,2068,4,1
rn16390,23044,18,11,5,57,1175,10,617,10816,44,10
rn16047,2746,1,0,0,5,131,1,68,1184,2,1
rn16373,2200,2,0,0,6,109,1,26,714,1,0
rn16250,4692,1,1,0,9,257,0,81,1747,13,1
rn16411,5316,3,3,0,2,164,0,48,1004,7,1
rn16438,13523,6,5,1,48,549,1,229,3920,14,0
rn16454,11418,6,5,3,10,534,3,226,2707,12,5
rn16497,5192,2,1,4,9,317,3,64,1342,11,0
rn16470,2535,5,2,0,9,251,4,98,1750,7,2
rn16519,31891,21,9,1,116,1343,18,820,10602,41,6
rn16535,5143,4,3,0,16,209,0,127,1264,5,1
rn16551,2609,3,3,3,7,141,0,55,662,0,1
rn16578,2507,2,0,0,19,100,1,20,450,1,0
rn16594,3870,4,1,2,7,180,0,65,1084,11,2
rn16616,14775,8,9,5,35,933,5,461,7834,39,7
rn16632,3970,0,0,0,7,188,0,33,580,4,0
rn16659,3231,1,0,0,10,92,0,14,472,0,2
rn16675,2459,3,0,1,5,127,0,41,999,1,6
rn16691,3328,2,1,1,9,115,0,47,2241,1,1
rn16713,12753,11,9,4,61,625,11,537,8832,21,6
rn16730,4594,4,1,1,5,172,0,63,845,3,0
rn16144,1793,1,1,0,5,99,0,33,663,0,1
